gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Atrium)	pct_gene_expr	max_pct_tx_expr
SLC25A34	0.01587254180794231	0.4037056107004678	3	0	-0.999954169756698	1	0.6666666666666666
EVI5L	7.541813731182743e-11	1	4	0	-0.9658140503226043	1	0.6666666666666666
ACTA1	6.285190587754544e-6	2.847624208398543e-4	3	1	-0.9631906666700246	0.8333333333333334	0.6666666666666666
PDLIM5	6.710790164496168e-17	1	5	0	-0.9555972532963416	1	0.8333333333333334
LOC113245842_TMEM41B	0.0010363400763481803	6.57267062106819e-5	3	1	0.9541735592146573	0.8333333333333334	0.8333333333333334
COBL	1.7726996756008576e-9	2.674054448260714e-10	6	2	0.9313806979240669	1	0.8333333333333334
ATP5F1C	4.285989344909012e-98	7.120679586767247e-47	3	1	-0.9233246982211282	1	1
PNKD	0.0013151323504655918	0.4231181042303133	4	0	-0.9137548555463147	1	0.6666666666666666
TNNI1	0.024485375751074307	1	3	0	-0.9074626853085368	1	0.5
TGM2	0.03194289808380325	0.16109339913844806	3	0	-0.9064079566095692	1	0.6666666666666666
SAMD4B	3.363353483254417e-5	0	2	2	0.8963141918425219	1	0.8333333333333334
NMNAT1	0.006596104895362994	0.0536209811456019	3	0	-0.8925118326287004	1	0.6666666666666666
EPAS1	5.857286559500274e-8	0	2	2	0.8844491648544839	1	1
ELMO3	0.018292845777671606	1	7	0	-0.8830125553161232	0.8333333333333334	0.8333333333333334
PDE4A	0.011299307299898628	0.002665047807011471	4	1	-0.8783066659217733	1	0.8333333333333334
SEC14L5	2.599720074824177e-5	9.223458776692093e-7	3	2	0.8752600323511985	1	1
FAM107B	7.338007547342822e-11	7.137084415725925e-13	3	2	-0.8688748808942531	1	1
MTFP1	0.0010631945963952508	0.0018968769169871737	3	1	-0.8679276730434584	1	1
CRNKL1_LOC113258304	2.650859119703956e-4	0	2	2	0.8641704165255862	1	1
LOC113268864	0.004792879321397843	0.33727926522774015	3	0	-0.861656667753963	1	0.6666666666666666
RASSF7	0.01430553616719101	0	2	2	0.8566622791992108	1	1
TICAM1	0.004977513174137492	0	2	2	0.8564481568695594	1	0.8333333333333334
ANKRD44	2.6656007725011694e-4	1.350024744386855e-4	4	1	-0.855041568295933	1	1
RNF115	2.8089653401214395e-10	1.1075580642019314e-8	3	3	0.8549328967957199	1	1
PIDD1	0.007042767386171684	9.033382993298084e-4	3	1	-0.8503868316017729	1	1
TRERF1	0.01102383228180924	0.0012997518529360192	3	1	-0.8493487653254503	1	1
POU2F1	0.001568531364789913	2.1500914509057007e-4	3	2	-0.8455667878110187	1	0.8333333333333334
ADPRHL1	2.1750089929942315e-13	3.3389765540923927e-9	5	1	-0.83269532268571	1	1
SMTN	2.2505773482218603e-21	1.2213682793434322e-18	8	1	-0.8309649026303936	1	1
ERBB4	0.04619298127905353	0	2	2	-0.8275618518884633	1	1
LOC113249819	2.718170540541201e-10	0	2	2	0.8264208081673148	1	1
RPS24	6.116912531242208e-62	3.819718803740296e-63	3	3	-0.824416232649042	1	1
LOC113270472	1.6716489448157348e-6	8.903421625199993e-8	3	2	-0.8214020470758953	1	0.8333333333333334
SIPA1L3	0.00969444440867136	0.008425193113819023	4	1	-0.8211714019814933	1	0.8333333333333334
