gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Lung)	pct_gene_expr	max_pct_tx_expr
SMPX	1.7897058324009646e-6	0.001475728740074792	3	2	0.9486246706931339	1	0.8333333333333334
RECK	2.53845417567909e-4	0	2	2	0.9195332542188684	1	1
PHACTR1	3.4549658648604983e-13	1.0264172266498933e-14	6	1	0.9161578205176951	1	0.8333333333333334
OCLN	9.281251643302323e-7	2.1283322789364896e-8	3	3	0.914323757144445	1	1
BMPR1B	7.16690303686239e-4	0.5378679745813901	3	0	0.9120552730521345	1	0.6666666666666666
ZNF786	2.188208418341728e-4	0	2	2	0.9011229007627469	1	0.8333333333333334
EDRF1	5.461612249075416e-6	6.261628134882743e-8	6	1	0.8968613723828284	1	0.6666666666666666
LMOD3	8.228344518915453e-14	8.35438419708995e-8	3	2	0.8965402146739138	1	1
SLC25A34	0.029495106442247558	1	4	0	0.8844746236894971	0.8333333333333334	0.5
LOC113243786	2.0371482089589382e-4	6.700538280238732e-5	4	1	-0.8777112108252173	1	0.6666666666666666
PPP3CA	4.19667322197825e-9	0	2	2	0.8715261906682803	1	0.8333333333333334
LRRFIP1	9.202339882655757e-51	5.839299269143123e-45	8	2	0.867958413553777	1	1
DPF2	0.0022881703027097604	0.09436314841823613	7	0	0.8645890118918252	1	0.8333333333333334
ATP8A1	1.2622253615129477e-24	6.095478690254404e-27	3	2	0.8590792729700647	1	1
ZNF608	4.306053789601035e-4	2.0894010735402337e-5	6	1	0.8555512891333634	1	0.8333333333333334
LOC113270472	5.930855346639651e-10	7.014862949593708e-10	4	3	0.8544248733297038	1	0.8333333333333334
CUNH4orf54	8.060145549946587e-6	7.300655741468542e-4	3	1	0.853580142446728	0.8333333333333334	0.8333333333333334
LOC113249819	3.23962078118666e-8	0	2	2	-0.8526618570058068	1	1
MB	2.6427741859196052e-6	2.213290401772617e-6	4	1	0.8494766494877307	1	1
SEMA7A	2.030328774795915e-5	1.462092695942484e-5	3	3	-0.8450581422335568	1	0.8333333333333334
FBXL12	6.896729554620803e-4	2.1338147745402636e-4	3	1	0.8430811711899707	1	0.8333333333333334
PKM	5.215476468599593e-16	0	2	2	-0.8424005672143416	1	1
SEMA4D	1.4919057430271975e-7	0	2	2	0.8301753836180382	1	1
KIAA1324	1.3591422943565638e-7	1.4089863351571109e-5	4	1	-0.8228262128670307	1	1
RIMKLB	2.627495162931406e-4	0.3035092001751362	3	0	0.8223881877141835	1	0.8333333333333334
CD274	0.019211922953439656	0.0021436187627278344	5	1	0.8212825158119067	1	0.8333333333333334
GNGT2	7.293058673339808e-5	1	4	0	0.8185106706662619	1	0.8333333333333334
UNC45B	1.8855999819733129e-6	4.6731977025285343e-8	3	2	-0.818414330271345	1	1
MYO9B	8.222227438238314e-6	2.547515309887363e-7	4	3	0.817621554513099	1	1
F13A1	0.0034275735131715935	3.4392308376249455e-4	3	2	0.8154010378213333	1	0.8333333333333334
B4GALNT3	0.04197742900929835	0.2940956358331819	3	0	0.8111461578180685	1	0.6666666666666666
ACOT11	3.5708902083080783e-4	6.729797606957642e-6	3	2	0.8083005263431031	1	1
