gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Atrium-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
LOC113270332	0.0034790691659595105	1.207539902711114e-4	5	1	0.972549969952257	1	0.8333333333333334
CEND1	0.00446088827078733	0	2	2	-0.9554320913478389	1	0.8333333333333334
SMPX	1.0516883063644581e-4	0.0014846267891533206	3	1	0.9432952236802542	1	1
ACTA1	1.460381665555169e-7	4.090368089068386e-6	3	1	0.9413093174069768	0.8333333333333334	0.8333333333333334
TRERF1	1.0866570439722588e-4	1.1249503503674826e-5	3	2	0.9128701906578053	1	0.8333333333333334
LOC113246021	0.022608882526933924	1	3	0	-0.9107457047630296	0.6666666666666666	0.3333333333333333
UNC45B	0.03789875887755904	0.008929218839446864	3	1	0.9061909013694749	1	0.8333333333333334
MFSD6	1.56714279304967e-6	1.8847845869277998e-7	3	2	0.9041551753816044	1	1
ATP5F1C	2.184212260138355e-32	1.0123503607318558e-11	4	2	0.887106630441516	1	1
ELMO3	0.015322166115726604	1	8	0	0.8861012861813203	0.8333333333333334	0.6666666666666666
CCDC43	1.2593825669773098e-6	1.5586390332283936e-6	6	2	0.8856603083938919	1	0.8333333333333334
WFDC3	0.009378669766563834	0.12397733199672575	3	0	0.8830241491529156	1	0.6666666666666666
TAF1A	2.5035965590886977e-4	0.012867700293125945	3	1	0.8805926960525264	1	0.6666666666666666
ADSL	4.469701281584327e-9	0.009414074839639254	5	1	0.8803769896079913	1	1
TRIM54	7.80834878469209e-8	1.0027081819536212e-9	3	2	-0.8750363477837091	1	0.8333333333333334
MYO5C	3.3488610842452386e-6	5.241609430478413e-6	4	1	0.8635368673844432	1	0.8333333333333334
CTBP2	6.3174466091679605e-6	1.610134221220062e-4	6	1	0.8578377162267817	1	0.8333333333333334
PDLIM5	1.49553299937954e-42	1	10	0	0.8557735588459614	1	1
AUP1_DQX1	0.0012929353970008385	2.106918380678854e-4	3	2	0.8463881994421143	1	0.8333333333333334
HMGN3	2.2602177416828177e-10	0.17564718705068957	7	0	0.8456219671590911	1	0.8333333333333334
LOC113246045_LOC113245998	2.3050313925901558e-5	0	2	2	-0.844001529251239	0.8333333333333334	0.8333333333333334
FHL2	1.7258191459487757e-36	2.5948804174880503e-34	4	1	0.8437837313409601	1	1
LOC113249819	2.7186730044803194e-13	0	2	2	-0.8437378501184545	1	1
PERM1	0.028124517666707385	1	5	0	0.8334725435290644	0.8333333333333334	0.6666666666666666
SMTN	1.3515670445057129e-16	2.4221396211461912e-15	7	1	0.8307095984900746	1	1
TMEM200B	7.502352886747309e-4	3.9389160062266136e-4	3	1	0.8305896051229325	1	0.8333333333333334
GFPT2	1.4226848934044681e-24	0.0052253836113873835	7	1	0.8272222694304532	1	0.8333333333333334
LOC113270472	6.302150243828461e-7	1.858392458151606e-8	3	3	0.8271397560029528	1	0.8333333333333334
RMC1	5.93659138078389e-5	0.002461384512129544	7	1	0.820029167311338	1	0.8333333333333334
EIF2AK4	3.878856846056171e-6	3.4959956626741254e-6	5	1	0.8187235004283736	1	0.8333333333333334
MB	3.856046620965578e-12	8.435183757359654e-10	5	2	0.8135331341278291	1	1
LOC113247381	4.464596068287994e-9	6.213607556081715e-8	4	2	-0.8104215696383704	1	1
SEC61A2	6.721499495346234e-4	1.0307799963682719e-4	3	2	0.810155260295173	1	0.8333333333333334
LPAR1	4.8034495168701264e-5	1.7866038588574624e-4	4	1	0.8091430804919981	1	0.8333333333333334
EXO5_ZNF684	0.005667329385533647	0	2	2	-0.8040493476870407	0.6666666666666666	0.5
COMMD8	1.0592961993378648e-4	0.015760966437395007	5	1	0.803537922906314	1	1
FRS3	0.003086852215157813	0.003118666560925733	3	1	-0.8030466482961818	1	0.6666666666666666
DDX20	5.424662700460406e-4	4.933717823966264e-4	4	1	0.801256497856197	1	0.8333333333333334
LOC113246319	0.03571935998360076	0.5173631393561207	3	0	-0.7979532370959572	0.6666666666666666	0.6666666666666666
SUPT6H	4.159140682667076e-13	1.0630095706782593e-13	8	2	0.7978892489107586	1	1
LOXL2	4.702117082192552e-8	2.606769373896229e-8	12	1	0.7970159745676048	1	0.8333333333333334
MRPS27	7.858441254365578e-6	3.150136471071314e-7	5	2	0.7966802663437292	1	1
ART3	2.624627581818655e-4	1.27570818933777e-4	4	1	-0.7938780391614796	1	1
LOC113241255	0.03200692370681913	0.8341442735911736	3	0	-0.7919066845126974	0.8333333333333334	0.5
LOC113247918	7.368458798520481e-8	0.19845582638445117	7	0	0.7918902953028933	1	0.8333333333333334
GLE1	6.253389075001591e-4	3.871042458820349e-4	3	1	0.7907101168598966	1	1
LOC113266115_EGLN3	6.510720485891548e-4	0.004327191644027256	3	1	0.7881310820437655	1	0.6666666666666666
SGF29	4.5980648865855193e-4	0.00992463946366724	9	1	0.7871744394758198	1	0.8333333333333334
GFM1	4.7178290130224544e-11	3.190260924513504e-10	5	3	-0.7862116556394274	1	1
HSPB11	8.223801919406194e-6	1.729055437474098e-5	5	1	0.7858948874241685	1	0.8333333333333334
HERPUD1	2.1958320415474344e-5	2.383861541093524e-6	11	1	0.7839498235799897	1	1
SETDB1	0.03775860701283546	0.00801817665936814	4	1	-0.7830601134960289	1	0.8333333333333334
FAN1	7.486940289080718e-15	0.006311011016400947	7	1	0.7815708056297516	1	1
SLC2A3	1.0850932963509167e-5	1.494567393485658e-5	4	2	0.7815664229281638	1	0.8333333333333334
