gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Small Intestine)	pct_gene_expr	max_pct_tx_expr
KLF15	0.029040681651133337	0.0014739945249243706	3	1	0.9998789408881446	1	0.75
VHL_IRAK2	0.03002808464103251	0.01289132451785232	3	1	0.9404564824902232	0.75	0.75
AVIL	0.003857576124183746	1	3	0	-0.9228466453802678	1	0.5
LOC113245502	0.013459290991820713	0.20653627213903059	3	0	-0.8998601136705	0.5	0.5
PSTPIP1	0.015483740199208904	0.19123419039248604	3	0	0.887167808311844	1	0.75
LAMC2	2.3464062232646823e-4	1.112801353348182e-5	4	1	-0.8575842137030052	1	0.75
HEY2	0.001012955276610961	0.9905837639106816	3	0	-0.853454872418679	1	0.75
LOC113249444	0.011480509099365224	0.01095620224709494	3	1	-0.8510708596575648	1	1
ACTA1	0.002342467689503026	2.8152149063200314e-4	3	2	-0.845650284392302	1	0.75
LOC113248587	0.006998815988465497	0	2	2	-0.8322728726845579	1	0.75
DTL	9.086487480375624e-4	0.11680537165393914	3	0	-0.8210591018677065	1	0.75
ADAM22	0.011325646975100847	0.01760482586840858	5	1	0.8203232316666706	1	0.75
ZC3H12C	0.01300941204409821	0.00953509906040006	3	2	0.8196841771720444	1	1
GAREM1	0.013572702374941348	0	2	2	0.8056740340812726	1	0.75
TET1	0.02308738141987666	0	2	2	0.8022926224972496	1	1
METTL7A	0.009470688359616302	0.029037880272027413	3	1	0.8004655302095854	1	0.75
LOC113264719	0.03541520450649413	1	5	0	-0.8003257940663491	1	0.75
PRLR	0.0077792895244812085	0.008622508548752343	3	1	0.7998112075255527	1	1
LOC113246184	0.04435248438299878	0.7888620800263122	3	0	0.792423853681382	1	1
SLC7A7	0.02043325634406441	0.052718302595605	4	0	-0.7821872689505486	1	0.75
ARID3A	0.007131298885934772	0.01160050303877931	3	2	-0.7764160338496868	1	0.75
PAPSS2	1.800902612610576e-5	1.767645836755081e-4	6	1	0.7679140075552866	1	1
BCORL1	0.026131136280167493	0.05660308134971463	4	0	0.7631860121621075	1	0.75
SAMD4B	0.03597139203584733	0	2	2	0.7605359734518979	1	0.75
ACVR1	0.0029563131077138677	1	7	0	0.7568797555289829	1	1
RAI1	0.002359225200124407	0	2	2	-0.7536342815919257	1	1
SIRPA	0.010167156648281809	0.007566207646669151	4	1	-0.7495562356830971	1	1
KIF20B	0.013386041217827544	0.27528714746660804	3	0	-0.7485975455388649	1	0.75
ZNF423	0.03610801616828889	0	2	2	0.7468000451368885	1	0.75
LOC113270472	8.74268666837317e-4	8.139172022056523e-4	3	1	0.7467652131686019	1	1
LOC113248820	0.01286976153012678	0.0417574742697233	7	1	0.746063971982719	1	1
KREMEN1	0.027086268888491898	0.3457985096582028	3	0	0.743595898257543	1	0.75
LOC113258957	0.0010495298149573546	0.03208434841619008	4	1	-0.742952762771008	1	0.75
GTF2IRD1	0.002515426067489002	0.009813169174680164	4	1	0.7417118822357397	1	1
LOC113257633	1.7877584046752898e-4	0.0028298496509494	3	1	0.7417076583758915	1	1
TMEM268	8.070451838699744e-7	9.156242380760779e-7	4	2	0.7412302027494697	1	1
LOC113250446	0.009470688359616302	1	3	0	0.7332112988461569	1	0.75
ANPEP	0.005282934624540265	1.3024398702850336e-4	3	1	-0.7322697162207865	1	1
CEP128	0.009746733202202783	0.006042999438985983	3	1	0.7242795857673004	1	1
CACNB3	0.03809987102394945	0.47146888751385047	5	0	-0.7135672472482304	1	0.75
ARHGAP27	0.002357046144493531	1.1957736241148656e-4	3	1	-0.7092202144976762	1	1
CACNA2D3	0.015020575818707473	0.024591376830678094	4	1	0.7046731626172738	1	1
MAP9	0.005548988033835266	0.004275340535355552	3	1	-0.6971980078829491	1	1
GK	0.0022462433778770107	1.9070337748071974e-4	7	1	0.6882192882095974	1	1
ESR1	0.006390034955978707	0.003725206688538541	7	1	-0.6882082459923249	1	1
LOC113264073	0.04435248438299878	0.1614321514387262	4	0	-0.6836011948866627	1	0.75
UBXN8	1.8325427730190585e-4	0.00849459058084257	4	2	-0.6801543927468124	1	1
IFFO1	0.0057836381580115065	1	7	0	-0.6731031883540585	1	0.75
IFT22	0.026267495665441582	0.05301238565144623	3	0	-0.6725899814875304	1	1
LEP	0.01161634978740883	0.027226885263916062	5	1	-0.6673159151557202	1	1
EPN2	0.038918072738504284	1	5	0	-0.6651973603778216	1	1
JAK1_LOC113254576	0.018660918271504175	0.013811576875773479	3	1	-0.6644727336261722	1	1
GPX8	7.921291601353012e-4	0.0028596527428002816	5	1	-0.6602119900933413	1	1
PHACTR1	0.032781918927774094	0.38412294530709373	5	0	-0.654761600997013	1	0.75
THOP1	0.04847945834861385	0	2	2	-0.6516685817842738	1	1
NCEH1	0.019623253232842558	0.03693911557385963	3	1	0.6471863340548649	1	1
IRF4	0.004275744363879731	0.26497547357446577	3	0	0.6461517850134104	1	1
ZHX3	0.011210274356909578	0.009822088364008844	3	1	-0.6455845917098166	1	1
FITM2	0.01513414814296124	0.00453957352206848	4	1	-0.6423886081654082	1	1
AADACL2	8.842627145198865e-6	0.008339971459578025	4	1	0.6406178586191034	1	1
CD44	2.2287724529907978e-13	1.1166289787886356e-11	6	2	0.6401904174072153	1	1
GPAT3	0.02061119604455133	0.03844392528637701	5	1	0.6358338136617047	1	0.75
G6PD	0.032125888717916704	0.1594182785110112	4	0	-0.6315759690245316	1	1
LIPN	8.849115531194848e-4	0.024264189137384082	8	1	-0.6288412234021368	1	0.75
DHRS3	1.560129261363753e-7	0.002131018727046944	4	1	0.6251452119133978	1	1
MICU1	0.005143925375779365	0.006746148566502739	7	1	0.6235296789714118	1	1
ACSL5	0.004733929209810309	0.3295532225072093	3	0	-0.6234135941351118	1	1
TMEM106C	0.002486905454704297	0.004753301311902208	5	1	0.6213545899145256	1	1
LRSAM1	0.01316826447724982	0.8135985767449908	5	0	-0.6195708059157817	1	0.75
ICK	0.028569075795061294	1	5	0	-0.618492096939582	1	0.75
SBF2	0.021301748998345905	1	4	0	-0.6179075218746135	1	1
AIFM2	0.04398436837023711	0.35816096409848724	6	0	-0.6161450936894094	1	1
LOC113249382	0.001182992887214664	0.006239711310964144	3	1	0.6134827257573461	1	1
MRLN	0.02169019071098934	1	12	0	-0.6124878355507113	1	1
BCO1	0.03779553422616126	0.04085868252827674	5	1	0.6118753881229814	1	1
UEVLD	0.004967494935601643	0.04419518543725535	5	1	-0.6039230189818058	1	1
HPGDS	0.022010213689149214	0.27837393942998384	4	0	-0.6027169376715151	1	1
CLIC5	2.2925069109461106e-8	0.06740573580676058	6	0	-0.6018437279350511	1	0.75
WDFY4	0.04512822277518107	0.05260448909724592	5	0	-0.6010388438631054	1	1
ENTPD1	0.010438094584583507	0.06758622207163179	4	0	-0.5969905486964977	1	1
HMGCLL1	0.027523591425945664	0.42934580180713033	6	0	-0.5936284057289918	1	1
ARHGAP26	0.022451635009670335	0.07144598379660769	4	0	0.5927015465965441	1	1
WISP2	0.0319751939818853	0.16341925067404545	4	0	0.5909619479206266	1	0.75
LOC113248645	0.012527535022938869	1	8	0	0.5900650290699546	1	1
AKAP8	0.01161634978740883	0.5799757580730732	5	0	0.580101938645436	1	1
POLG	6.341233898233355e-4	0.1033508112075461	5	0	-0.5800043485475456	1	1
