gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Ventricle)	pct_gene_expr	max_pct_tx_expr
HIVEP3	5.766121622557063e-4	1.550732636673237e-4	3	1	-0.9304874900240155	1	0.8333333333333334
KATNB1	0.04270170730631253	1	4	0	-0.9146818209291898	1	0.6666666666666666
ELMO3	0.010300337872463395	1	8	0	-0.9098160884471843	1	0.8333333333333334
HSD17B13	0.021805619408404142	0.3379387354774714	3	0	0.9076504735082149	1	0.8333333333333334
CNNM4	0.0035555111655296524	0.0023965776549560026	3	1	-0.9064829944024722	1	0.8333333333333334
CAMSAP2	1.6441286088048668e-5	1.1913064278357346e-7	5	1	0.9029148896853476	1	0.8333333333333334
NEBL	3.3980412380731474e-152	1.8230037415605244e-137	4	2	-0.9008029409604243	1	1
MB	0.021265067326684192	0.1321842318343647	4	0	-0.8950178095700205	1	1
ARF3	2.443314553086046e-14	1.165665160696009e-16	3	2	0.8868583553850414	1	1
SELL	0.03764328662606009	0.1589327874633802	3	0	0.8852438240308128	1	0.8333333333333334
HMCES	7.721490974424957e-4	0.04056199001069681	3	1	-0.8675942864309374	1	0.6666666666666666
EML1	0.0045821743909831006	3.427477159701891e-4	4	1	0.8660777358653812	1	0.8333333333333334
PDE3A	1.0461324194476403e-35	1.872304307154644e-30	4	3	-0.8631424252108945	1	1
HMGN3	7.86791314538356e-6	1.0719188258282725e-5	5	1	-0.8373089839871254	1	0.8333333333333334
NHLRC3	2.8507860558578293e-4	1	3	0	-0.8330796079588378	1	0.6666666666666666
TPM4	1.283973192182991e-7	2.4706009700187726e-7	4	2	0.8326379155919198	1	1
SMTN	0.005591736234189738	0.05464402890627432	5	0	-0.824558268197657	1	0.6666666666666666
TBC1D4	2.313926311763734e-7	0.019026260958665445	4	1	-0.8227094191838208	1	1
SKA1	0.004734129888632942	0.0010466845818567477	3	2	-0.8213663501805141	1	0.8333333333333334
SPI1	0.0031357841802447176	0.002322424510132458	3	1	-0.8161028828470986	1	0.8333333333333334
GYS1	0.015566201354560114	0.4855573375728843	5	0	-0.8159211800654872	1	0.6666666666666666
LAMA3	6.127014559887851e-4	6.874776225873008e-5	5	1	-0.8145277399893527	1	1
ADPRHL1	3.54184089177537e-12	1	5	0	-0.8133774028413786	1	0.8333333333333334
ARHGEF28	5.866160149709251e-4	1	3	0	-0.8062424073735851	1	0.8333333333333334
SYNPO	0.002284884636245846	5.726917115164917e-5	5	2	0.8054241598716375	1	1
NDRG3	0.002762107655611308	1	6	0	-0.7995478156983709	1	0.6666666666666666
LOC113254533	0.047088581683883926	1	6	0	0.7969076131668239	1	0.5
WIPF1	0.001410931807932383	0.22489520670253618	4	0	-0.7870909379167504	1	0.8333333333333334
HDAC5	0.0033888318537380864	0.007681844094572828	4	2	0.785928156717444	1	1
ART3	1.0795822202106981e-4	1.6660744646303493e-4	4	1	0.7828259011480204	1	1
SGCD	2.6353713563100187e-4	8.370917100991292e-4	4	1	-0.7821258058993642	1	1
CUNH1orf216	0.0480478961037953	0	2	2	0.7820417707118026	1	1
SLC39A8	0.005491249650186778	0.004594994628820314	4	1	-0.7774429380651532	1	0.6666666666666666
FAXC	0.0041661961160036785	4.1426555229235717e-4	3	2	0.7706633145636053	1	1
STX10	5.684489348500842e-4	1	6	0	-0.7694682299353496	1	0.6666666666666666
C4BPA	0.001058785062679814	9.121826081356726e-4	4	1	0.7682591781152519	0.8333333333333334	0.8333333333333334
ERN1	0.011702978725064036	0	2	2	-0.7669502971437477	1	1
STAP2	0.01455306725135832	0.486473012726463	3	0	-0.7664096834851737	1	0.6666666666666666
DDR2	0.004811639399388538	0.014309333933427584	3	1	0.7625098260071521	1	0.6666666666666666
C2	0.047319500386269114	1	5	0	0.7617966708136951	0.8333333333333334	0.5
TMEM245	1.9508972322850647e-7	7.3178516284750635e-9	3	2	0.7605186035998504	1	1
PIP5K1C	0.016118588272888448	0.011318727318058488	4	1	-0.7564389431511536	1	0.8333333333333334
MED23	0.0012327256155463908	0.0010111232994850362	3	2	0.7532337654795231	1	1
EML4	0.012724400054516244	0.0030580316828169307	4	1	0.7494852537122184	1	0.8333333333333334
LIG4	0.04609787542715565	0	2	2	0.7448129344840684	1	0.8333333333333334
DCAF1	0.02374800865434367	0	2	2	-0.74128695621386	1	0.8333333333333334
OTC	4.2067045195012127e-7	3.162546453765355e-4	5	2	0.7408148673702699	1	1
UBASH3B	0.03500933749756872	0.5223535226793523	3	0	-0.7400301586022892	1	0.8333333333333334
ANKRD39	4.5265313015887337e-29	6.211868665339837e-18	9	1	0.7385702924291642	1	1
OCLN	0.029775760137694163	0.1322445414361237	3	0	0.7375699650737704	1	1
KIF1B	5.855728862346714e-9	1.5285580469866682e-7	4	2	0.7370931706148226	1	1
CARM1	0.001420392005256735	0.11315481191667547	3	0	-0.736797530890285	1	0.8333333333333334
SBF1	0.022428449471686495	0.0019991453531694146	3	1	0.7356441354560603	1	0.8333333333333334
BCAR1	0.0032640353145461545	9.65210134061747e-4	4	1	-0.7352546497157684	1	0.8333333333333334
SUGP1	0.01533329925170555	0.34613006585841627	5	0	-0.7342877657316681	1	0.6666666666666666
SERPINC1	1.974175655173387e-9	1.9462853426762868e-10	3	1	-0.7308816467054975	1	1
KIAA1522	0.002109238627405142	1	3	0	-0.7275437066609716	1	0.6666666666666666
RNF115	7.55723530813234e-8	5.5036575741705755e-8	3	2	0.7269964784585723	1	1
CMYA5	2.184591624717249e-8	1.4144889845982277e-8	7	2	-0.7257268652127619	1	1
ADGRG1	0.0455238590804239	0.012224105112850207	3	1	0.7225178986974509	1	0.8333333333333334
FRAS1	0.020365433173049508	0.003838297125613942	4	1	-0.7203497756976183	1	1
LRRC8A	0.0099841319818021	0.024878993952415423	4	1	-0.719646620067337	1	0.8333333333333334
LOC113245466	3.264124872419608e-5	0.004177409622782301	4	1	-0.7154394111272708	1	0.8333333333333334
EXOC7	1.9043618882197097e-6	0.028184625225683938	7	1	-0.7097450398453479	1	0.8333333333333334
LDB3	0.006385871720587956	6.083285555050031e-4	6	1	0.7079566545526023	1	0.8333333333333334
LOC113249327	0.03500933749756872	0.03611454193836225	3	1	0.7023904173441191	1	0.8333333333333334
AOC2	0.01928931325911619	0	2	2	0.7001008060803696	0.8333333333333334	0.8333333333333334
LOC113246872	0.010953787068590015	0.002532628269864987	11	1	-0.6948134375168586	1	1
FPGS	0.011702978725064036	0.007970363077613939	4	1	-0.6932271093410017	1	1
SPARCL1	1.468065647278037e-11	1.4724596237901344e-6	10	2	0.6919861428360092	1	1
MPEG1	0.0062348206768398145	0.31952239739170546	3	0	0.6893361502184882	0.8333333333333334	0.8333333333333334
IFT20	0.0029822180947029642	0.0017399412399213233	3	1	-0.688763447848201	1	1
LOC113260369	2.9781369423911966e-4	9.458763423000024e-4	4	1	-0.6868327547152611	1	1
FITM2	4.933867316314673e-10	2.2584838894428775e-10	4	2	0.6861552697865565	1	1
DTNA	5.598427805162933e-4	0.0026249374923908698	11	1	0.6843128475554588	1	0.6666666666666666
LOC113270472	1.673019325223591e-4	0.4599698415116166	3	0	-0.6829450129134822	1	0.8333333333333334
ST7	0.023481573167056125	0.0016691055925002485	6	1	0.6824059443574549	1	0.8333333333333334
CNTN4	0.024800993587419426	0.04477973338385641	3	1	0.674087412387633	1	1
MORN4	2.184591624717249e-8	2.151479980001542e-6	6	1	-0.6735065799227197	1	0.8333333333333334
TBC1D8	1.9325509657457268e-10	3.4714324511950624e-8	4	2	0.6683881699818902	1	1
LOC113249444	0.02047965950929775	0	2	2	0.6682858714820674	0.8333333333333334	0.5
CUNH18orf25	0.03640729002443744	0.08326602731588696	4	0	0.6662206101182121	1	1
IDH3A	5.866160149709251e-4	2.0718179601366833e-4	5	2	-0.6661986145040806	1	1
KDM4A	0.01810268178130203	0.20940126882967475	4	0	-0.6652566123489051	1	0.8333333333333334
LOC113245998	7.559292537647057e-29	3.7751891343342906e-28	7	1	0.6625669252983322	1	1
SPATS2L	6.145584634367664e-6	1	6	0	-0.6604287117772238	1	1
MPZL2	0.0044292413400557175	1	7	0	-0.6585031352579076	1	0.6666666666666666
RHBDD3	0.01995668329821833	0.0189987614957895	6	1	0.6570713004565923	1	0.8333333333333334
SMARCAD1	0.042381248062143356	0.25337656058823194	5	0	0.6566615590734374	1	0.8333333333333334
LOC113241702	0.008475170514024159	0.41694385670745665	5	0	0.6565623673050761	1	0.6666666666666666
CPT1A	0.025261793889976493	0.01516400316211771	5	2	-0.6554018703749586	1	1
SH3BGRL2	2.006006129143233e-4	0.0026696840018971	3	1	0.6495423589543939	1	1
LACC1	0.0034795268948199735	0.01814319560147611	6	1	-0.6459727837958346	1	1
USP28	3.8671251707503215e-14	9.3915142726933e-9	5	3	-0.6443493460229308	1	0.8333333333333334
ETV6	0.006578336117465248	0.06545681048232732	3	0	-0.642999198350766	1	1
UBXN8	0.019218476241397473	1	4	0	-0.6387860129402302	1	1
HECW2	3.4204406921174984e-4	0.0029563982722434945	3	1	-0.6386982722437118	1	1
PRDM4	0.045150362388691155	0.12298074397869513	5	0	0.6380078095837697	1	0.8333333333333334
PKM	5.984297711984429e-9	2.9410157838804193e-9	5	2	-0.6369053583726648	1	1
EPSTI1	0.01533329925170555	1	5	0	-0.635651239707515	1	0.8333333333333334
PDP2	0.03622456908460687	0.0056749366110075	5	1	-0.6342578088463676	1	1
FGD4	0.005212335662577919	2.3050694846753612e-4	6	1	-0.6307307735009936	1	0.8333333333333334
NCAM1	3.7422768999684806e-11	6.45217710516688e-6	5	3	0.6293845415210596	1	0.8333333333333334
NSFL1C	0.03474365754409112	0.005729062894908466	3	2	-0.62557847655187	1	1
