gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Small Intestine)	pct_gene_expr	max_pct_tx_expr
ZDHHC13	0.004335152268495981	3.9461476216405897e-4	3	2	0.9920929896132162	1	1
LOC113248325	0.03439863755708893	1	4	0	-0.9867944621119046	1	0.5
LOC113248587	0.04401812904092462	0.9763757911113515	3	0	-0.9579922866538056	1	0.5
DDHD1	2.550210887162986e-4	1	4	0	-0.9549799025048863	1	0.75
MYL3	1.3716685366430992e-5	1	4	0	0.9418184129869935	1	0.75
PCBP4	4.3630511465587514e-5	1	3	0	0.9393140388982302	1	0.5
XRN2	5.228748619433342e-7	7.55252870189622e-9	5	2	0.9363235166501953	1	0.75
LMOD3	9.13556237463434e-6	7.325900823115703e-4	3	1	0.9145518478969552	1	1
EDRF1	2.5214550409410387e-5	4.2327712696959705e-7	5	1	0.9063151522631311	1	0.75
OCLN	0.0029863778936514017	0.006192155552700658	3	1	0.8838808354083315	1	1
EML4	2.9131568106242363e-4	2.3048467248732236e-5	3	2	0.8822990190060876	1	1
SLC38A4	0.0059481402468201305	1.1197036657320767e-4	10	1	-0.8604281265673726	1	0.75
AMPD1	2.545689795332081e-4	1.0501741434553381e-5	4	1	-0.8599821990752851	1	1
SEC22C	0.007067438920061398	0	2	2	0.8538833814586181	1	0.75
HEY2	0.022805973869498206	0.8254733573938311	3	0	-0.8322599143117886	1	0.75
B4GALNT3	0.03061205889332729	0.9762601428631662	3	0	0.8265692378045814	1	0.75
MYO9B	9.832129639292611e-5	1.9970298080549384e-6	5	1	0.8224191473406208	1	1
SYNPO	4.892902538512927e-4	1.4563870537640073e-4	4	2	0.815737530765541	1	0.75
HRC	3.088257382779748e-58	3.634398686760923e-35	7	1	-0.8122391170837266	1	1
FAM219A	0.0052703700130342255	0.004316862015636011	3	1	0.811516395382135	1	0.75
PPID	5.805946031424852e-4	8.08267772231021e-5	7	1	0.8043889211768305	1	1
ATP8A1	0.009496223135055208	0	2	2	-0.8028576030993974	1	0.75
KCNN3	0.01620602078722917	0	2	2	0.8026924129991724	1	0.75
GNGT2	0.02543225208472326	1	4	0	0.8006807559782511	1	0.75
VTN	0.049274051028724314	1	5	0	0.7982209685312993	1	0.5
CNNM4	9.205688270381815e-4	0.002498429432936206	4	1	0.7966511525065001	1	0.75
LOC113248522	0.018755537441994208	0.022360018286062787	3	1	-0.7956116847478	1	0.75
ANAPC5	4.352349756321062e-4	3.951736015118355e-5	8	1	0.7954047101631582	1	1
MB	0.03723703009649276	0.023220587536758958	4	1	-0.7936000858018784	1	1
DVL2	0.024932780790319454	0	2	2	0.7914534075942774	1	1
DENND1A	0.010096738694993146	0.00471815408981852	3	1	0.7900648358581083	1	0.75
ITGB1BP2	2.545689795332081e-4	0.025613690395191055	4	1	0.7899262344727858	1	0.75
SAMD12	0.049409525501281616	0	2	2	0.788261993607019	1	1
DPF2	0.02155796559583072	0.020904941707645775	4	1	0.7875015554460688	1	0.75
SEMA4D	2.772651925283697e-7	0	2	2	0.7874043846733694	1	1
LOC113249819	9.1796560722888e-4	0	2	2	-0.785954657887151	1	1
ZNF423	0.012473791088554568	0	2	2	0.7857100961394592	1	0.75
PHACTR1	0.03205645884549112	0.03235736493984956	4	1	0.7842216377485729	1	0.75
LRRC2	1.2295857706692744e-07	1	10	0	-0.7831759388490672	1	0.75
IKBKE	0.032921799925609674	0.012533501332790862	6	1	0.7805424053882397	1	0.75
MTERF2	0.0022071118625801613	0.40797688846550484	4	0	0.7768451894519213	1	1
THOP1	0.02592177549512058	0	2	2	-0.774508279666228	1	1
RASEF	0.027513095017529573	0	2	2	-0.7715038717027489	1	0.75
SYNJ1	0.014117713576510852	0.007716809675032898	4	1	0.7676342539150427	1	1
XIRP2	1.5068970675349315e-4	0.009798570189894964	6	1	0.761834572900952	1	0.75
CWF19L1	0.030543240409452804	0.04315819708600314	5	1	0.7603387549222942	1	0.75
PLXNB2	8.930279793790233e-4	1.2451740045236887e-4	9	1	0.7594610932483896	1	1
ANKRD39	9.329261590000685e-14	4.237491871953082e-5	9	1	-0.759308465076456	1	1
EVI5L	0.02917295757467006	0.12032644004555493	4	0	0.7585654242814509	1	0.75
ANHX	0.03854605719039245	0.09387590468957277	3	0	-0.7577720269446255	1	1
PSTPIP2	0.003416817333004199	9.083572945027994e-5	6	1	0.7566906537215902	1	1
DNAJB5	2.296438997305997e-5	1.6522135169185206e-4	3	1	0.7565401232093467	1	1
ZBED6CL	0.032884157752068724	1	6	0	0.7550737166406051	1	0.75
RXRG	0.006501656117958931	0.012810221861937648	4	1	-0.7533384528475744	1	0.75
