gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_medulla-Small Intestine)	pct_gene_expr	max_pct_tx_expr
LOC113248587	5.649691048090424e-4	0.024702673511251716	3	1	-0.9817796866019204	1	0.75
MOGAT1	0.04245625006603132	0.0046242072173222435	4	1	0.9193891412338336	1	1
NEK6	3.1443753249328854e-4	1.0796521845622403e-5	3	2	0.9190081311995607	1	1
RAB33B	6.834320516049828e-6	1.0329797137676955e-6	4	1	0.8887200477797362	1	1
LOC113270553	0.007356130741239582	1	4	0	-0.881953367617486	1	0.75
ROS1	1.1345384666776504e-5	1.4611757472672012e-7	3	2	0.8559006109201008	1	1
HEY2	0.011192739034502294	1	3	0	-0.8440839543591402	1	0.75
AARS2	0.017305362993462945	0	2	2	0.8352659564882288	1	0.75
KNG1	2.314019918020542e-5	2.0902284056502667e-6	7	1	-0.8299474069880952	1	1
MAP9	8.244089142688344e-6	1.1817111494709038e-5	3	1	0.8199439888326852	1	1
LRMP	0.014386011676705867	0.0034873178307572796	3	1	0.8131922891230117	1	0.75
TMEM268	4.549027637942762e-5	5.3619299799083795e-5	4	2	0.7988756072008086	1	1
APOH	6.834320516049828e-6	4.7679011303662395e-5	4	1	-0.7965614543973133	1	1
GSE1	0.02023606595882919	0.020195043014181232	3	1	0.7911575949469549	1	0.75
KDR_LOC113262504	0.02989128562747268	0	2	2	-0.7894388132908191	1	1
DVL2	0.011020143717918882	0.010195462985546504	3	1	-0.7863134646244341	1	1
HECW2	0.021043072392094606	0	2	2	-0.7862519124732161	1	0.75
ZC3H12C	0.02821201781867116	0.02902270381520138	4	1	-0.7861208312666128	1	1
ADAMTS19	0.0468611658368673	0.027492649729372015	3	2	0.779522483273235	1	0.75
CEP128	0.047872301839865926	0.03630662870676013	3	1	0.7736838780918369	1	0.75
PVR	0.0025121610557589853	0.07100259887638365	3	0	0.7636267442877728	1	1
SIRPA	0.008303835354532996	0.007700606982104278	5	1	-0.7438919717577962	1	1
LOC113265298	4.6693905836025216e-5	7.920181899070015e-4	4	1	-0.7385330647273671	1	1
MTCL1	0.017305362993462945	0	2	2	0.7363324411221968	1	1
KIF20B	0.049652430857460746	0.005833489731757199	4	1	-0.7344503423238096	1	0.75
EXD1	0.035365925828230525	1	3	0	0.7322609156869708	1	0.75
LOC113258957	0.007161065661967179	0.06273177217308136	4	0	-0.7303604770815812	1	0.75
ZNF214	0.012592330636587188	0.01135179601007634	3	1	-0.7249893726111145	1	0.75
BCAT2	0.04286533011189144	0	2	2	0.7159785037508913	1	0.75
ROBO4	1.8982192588938243e-4	0.001580394129981539	5	1	0.704437214819826	1	0.75
ABRAXAS2	0.024358023736369475	0.045513629245908564	3	1	0.6975569147038052	1	1
LOC113247282	0.02541065352992384	0.007004360003128615	3	1	0.6919157570003949	1	1
CSRNP2	0.04549552273020392	0	2	2	-0.682524886329102	1	1
LOC113252107	0.006051111972389796	0.0012491585512987035	3	1	0.6647933791766292	1	1
COBL	2.1343141597949814e-4	0.0011056132160892596	9	1	0.6612794297157712	1	1
NCEH1	0.037378674060350656	0.0620220027713622	3	0	0.6610945267965564	1	1
UBXN8	0.008169652370585031	0.08984178875710164	4	0	-0.6549959587813404	1	1
PDHX	2.0102901798806772e-4	4.143406820856564e-8	10	1	0.6511526345806172	1	1
CA12	1.5939660568986913e-10	2.7828197578880965e-5	5	1	-0.6508591677127559	1	1
INTS13	0.021855322858986313	0.29633873140760486	6	0	-0.6489147063527352	1	0.75
LOC113257633	0.01283223081366691	0.05143637599155792	3	0	-0.6475733046319119	1	1
SLC23A1	0.002149359421772023	4.5366513784430933e-4	4	1	0.6469768173635742	1	1
MMS19	0.04826992586438824	0.34304810085767706	9	0	-0.6469370588590199	1	1
ZNF512	0.013786128173798234	1	9	0	0.6194021934820704	1	0.75
MRPL28	0.011192739034502294	0.08514529645113031	5	0	0.6155210072799724	1	1
TPM1	1.0171146090476899e-5	3.4568876803993605e-5	10	1	-0.6153996595167108	1	1
LOC113265231	0.01796996450989044	1	6	0	0.6017961979342794	1	1
CHKB	0.012973978908087913	0.0032885022247862326	5	2	0.5978103909513435	1	1
REPIN1	0.005209770273757417	0.003205591025481563	4	1	0.5921270297164801	1	1
ASB9	0.014386011676705867	1	5	0	0.5904881848044908	1	1
SVIL	0.01796996450989044	0.18891557766660194	9	0	0.5885584963094789	1	1
ZNF613	0.03598391262298619	0.7787330089177434	5	0	0.586816202388773	1	1
FAH	0.04810980944496418	1	9	0	0.5854163575374236	1	1
CKMT1B	0.04739391697545561	0	2	2	-0.5820102182413747	1	1
GNPTAB	0.02023606595882919	0.06664786124261991	8	0	0.5797126144024812	1	1
YWHAH	0.047991846686978	0	2	2	0.5763209148552365	1	1
IRF4	0.02821201781867116	1	3	0	0.5755629609587769	1	1
VEPH1	2.0833877417310127e-4	0.004361881118570954	7	1	-0.5749557723980526	1	1
FMO2	0.011036551207510499	0.5998278340856914	7	0	-0.5736231061745988	1	1
TASP1	0.045320130100173404	0.2726272283313867	3	0	-0.5721553518940238	1	1
MPEG1	0.046240740292254064	1	3	0	-0.568823447301822	1	1
AGBL4	0.04799581035786038	0	2	2	0.5687408678721073	1	1
LOC113259624	0.007061350892086042	1	6	0	-0.5671648353840725	1	0.5
LOC113261538	0.036350647499428464	0.04985602367859134	5	1	0.5634009926416771	1	1
WWOX	1.3146738448049484e-6	2.0812633500145487e-4	6	1	0.5598487281546851	1	1
KREMEN1	0.004520896969009418	0.0033359233202174083	3	1	-0.5597727589357835	1	1
MLF1	0.021414126176679708	0.01176120278920621	5	1	0.5570011545235314	1	1
DHX32	0.018320764479486475	1	4	0	0.5542684220179982	1	1
MOB2	0.04139590890625402	0.0758565190681638	4	0	0.5510516569015846	1	1
HELB	0.028683004368508985	0.23121643205033435	3	0	-0.5370890301070694	1	1
TYK2	0.0068533093731914475	0.04603348473919718	8	1	0.5339788940739658	1	1
BHMT	0.005209770273757417	0.07884040671487832	5	0	0.5326607693440102	1	1
VRK2	0.02023606595882919	0.0016140072991564084	8	1	0.5317483547081927	1	1
ATXN7L3B	0.043120026863105315	0	2	2	0.5237457979482565	1	1
RFX3	0.0247784684463307	1	9	0	-0.5210365136727593	1	1
LOC113262222	2.0102901798806772e-4	0.010667902464403942	6	1	0.5206921395200663	1	1
PDLIM7	0.04102316773765889	0.4806237807152604	10	0	0.5195858632642809	1	1
SEC22B	0.02861426040550474	4.0709660327822503e-4	7	1	0.5192916659887605	1	1
PARM1	0.018336213544087345	1	3	0	-0.5188897286494726	1	1
EIF2B3	0.020444944044214087	1	3	0	0.5183441283968415	1	1
UVSSA	0.011036551207510499	0.1361960529177235	7	0	0.5155057225327714	1	1
