gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Atrium)	pct_gene_expr	max_pct_tx_expr
TPM4	1.9120553743814307e-37	1.1533475744344541e-36	4	2	0.9666718904074518	1	0.8333333333333334
MGST1	1.3379102136717453e-24	8.018932923540726e-13	3	2	0.9339951133870151	1	1
EVI5L	0.03459500959159542	0.0028536235611349684	3	1	-0.9281920149688966	1	0.8333333333333334
FBXL12	0.007970149889970225	0.008809486642659221	3	1	-0.9251582450425201	1	0.6666666666666666
CUNH1orf216	0.03379650542470558	0.006265798450907403	3	2	0.916158459981359	1	1
ATP5F1C	1.52632749886662e-63	1.738202625215556e-67	3	3	-0.9074449556735525	1	1
EML1	4.715379382024426e-5	2.1851366049713336e-6	3	1	0.9047033814277907	1	0.8333333333333334
FETUB	0.043994480443178226	0.16315865802734714	3	0	0.8979225758832045	0.6666666666666666	0.6666666666666666
NEBL	1.1072042256871458e-157	9.36514926411316e-142	4	2	-0.8970921431251379	1	1
EPAS1	1.782397487672005e-13	0	2	2	0.8943535239740811	1	1
LOC113270472	1.0599916750463128e-12	0.0027672816007774347	3	2	-0.8864668880775503	1	0.8333333333333334
STX10	0.0012154264996636125	1	6	0	-0.8783481149009437	1	0.6666666666666666
CD53	0.027397799570757872	0.03245816569525386	3	1	0.876046290868542	1	0.6666666666666666
FAXC	5.147752032174846e-4	3.809353017019702e-5	3	2	0.865979548288559	1	1
DOLPP1	9.537324103968162e-4	8.794623243676534e-4	3	1	0.8651116113951378	1	0.8333333333333334
ACSL6	5.551099654521297e-9	0.002590812288175868	3	1	0.85894840751225765	1	0.8333333333333334
SPI1	4.2544902930348927e-4	2.9140705268862645e-4	3	1	-0.8542846136459341	1	0.8333333333333334
PDE3A	4.780752736949512e-34	4.024668032991227e-29	4	3	-0.8540902187535019	1	1
SUGP1	3.250525583635814e-4	1	5	0	-0.8495572762160458	1	0.6666666666666666
MLLT3	0.029511778321000992	0.30959254954942944	3	0	-0.8472669027118156	1	0.8333333333333334
UBOX5	0.006828826196715409	0.0019692210281912798	4	1	-0.8433415965000336	1	1
ADPRHL1	2.4937778733553513e-13	1	5	0	-0.8331275368558511	1	0.8333333333333334
PHACTR1	1.7192649002492794e-9	3.361010232843461e-9	4	1	0.8292290262262731	1	1
SYNPO	0.006671752041113467	4.591616437953523e-4	4	2	0.8292278254268369	1	0.8333333333333334
DPF2	3.524781404146917e-4	0.0037387385231212266	3	1	-0.8231137750636884	1	0.6666666666666666
SBF1	0.002386565525081689	0	2	2	-0.8223919060471097	1	0.8333333333333334
MB	0.04334088316733336	0.16234973875975114	4	0	-0.8202246782441708	1	1
HECW2	4.062213874113603e-5	1.271679470188635e-4	3	1	0.8163159692208413	1	1
SGCD	1.0762804963148372e-4	2.4463171480575694e-4	4	1	-0.8112656783811528	1	0.8333333333333334
DDR2	4.062213874113603e-5	1.7194641880129908e-4	3	1	0.8060333431601384	1	0.8333333333333334
KCNE3	0.0010112183614136032	0.0016961355534780768	4	1	-0.8054659122438725	1	1
CPT1A	0.0030813392492911452	1.7732557597679364e-4	4	2	-0.8009084676989884	1	1
ASGR1	0.011203068700736254	0.008050569458053223	3	1	0.8004184736590089	0.8333333333333334	0.6666666666666666
RTN4	1.4627575162869133e-31	3.1450037975608795e-19	6	3	0.799217310195501	1	1
SLC39A14	1.3336350880390466e-8	5.706404651772151e-7	5	1	-0.7949614972828278	1	1
SMTN	3.547068982982356e-8	1	6	0	-0.7938240091202602	1	1
FGFR4	0.011319647556290221	0.022128164803830626	5	1	-0.7911814965673216	0.8333333333333334	0.5
MTMR7	4.408575591465119e-5	0.0016356009368150841	3	1	-0.7908120978365876	1	1
HDAC5	0.012226299410582417	0.0066839218346125325	4	1	0.7865825991220985	1	1
SKA1	0.005814483715014376	0.0032373244698951052	3	2	-0.7865742958644375	1	0.8333333333333334
HMGCS2	0.001682326611377425	0.007278322418755899	3	1	0.7865725566454095	1	0.8333333333333334
FGD6	0.0012017886296501231	0.002329276180280407	3	2	0.7857692868102126	1	0.8333333333333334
LOC113246836	0.005212449160457804	0	2	2	-0.7843220878159411	1	0.8333333333333334
ZNF565	0.014819420758638811	0.017954249215448487	4	1	0.7839203732123404	1	0.6666666666666666
ART3	3.12602534509373e-4	6.079742926536625e-4	4	1	0.7753008460055835	1	1
CARM1	3.8201054510987256e-4	0.007137542652256324	3	1	-0.7747624246390604	1	0.8333333333333334
WDR47	0.008861795458034127	0.028436916010452437	4	1	0.7745081316878132	1	0.6666666666666666
HMGN3	4.366752251926478e-4	3.3130733831343574e-5	6	1	-0.7729252054387332	1	0.8333333333333334
C4BPA	0.03970140759159288	0.22899030676727358	4	0	0.769577038438619	0.6666666666666666	0.5
RNF115	2.0100680082052624e-8	1.9944568405095382e-8	3	2	0.7679321836874254	1	1
GPT2	0.001455161684964718	0.02664657120227762	5	1	-0.7613454573140932	1	1
LOC113246872	0.0043642648598769635	8.151666169023107e-4	11	1	-0.759343769664231	1	0.8333333333333334
MRTFB	2.3954401146473662e-9	4.564069618159461e-7	5	2	0.7582118961262233	1	1
MINDY3	0.0395050630590256	0.01576284610055963	7	1	0.7568422089125593	1	0.8333333333333334
OCLN	0.0227029887468194	0.09738100251150288	3	0	0.7480265583136798	1	1
LOC113260144	0.015974069325232612	0.004005441310332891	3	1	-0.7474024183789634	1	0.8333333333333334
ARF3	2.7426332023239295e-9	0	2	2	0.7454794387906085	1	1
UBASH3B	0.030891678567439313	0.48751302484641	3	0	-0.743468404654497	1	0.8333333333333334
TBC1D4	9.884353706153944e-6	0.488478369583009	5	0	-0.7430257666075216	1	1
MFAP5	0.025518880846137796	1	6	0	-0.741923848321029	1	0.8333333333333334
RPS6KA2	0.02466319435145551	1	6	0	-0.7382528582162364	1	0.8333333333333334
CMYA5	3.547068982982356e-8	2.745076752826589e-8	7	2	-0.7366537995155272	1	1
EXO5	0.0073598079977236115	0.02434309929382501	4	1	-0.7313417991155156	1	0.8333333333333334
FITM2	3.6781378436773236e-18	3.626298349150886e-18	4	4	0.7260461261156064	1	1
