gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Ventricle-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
STYX	2.9976565984294665e-6	0.08889190432826874	6	0	0.9546766987648718	1	0.6666666666666666
ACTA1	3.597945569861067e-7	1.1719052207361397e-5	3	1	0.9400238719948271	0.8333333333333334	0.8333333333333334
TAF1A	2.5996793186362985e-5	0.7466685003640282	3	0	0.9396595936334231	1	0.6666666666666666
SMPX	3.9627838261549063e-4	0.0061029934001085645	3	1	0.9336132437445275	1	1
HEATR1	1.3192699987565441e-5	0	2	2	-0.9286513111557846	1	1
MYL3	1.431976105158652e-4	0.0471110074222114	5	1	0.9223409114191934	1	0.6666666666666666
ADGRB3	0.013317726166824886	0.0014807435481318314	3	2	-0.9175517589666334	1	1
ELMO3	0.0022947004809240677	1	8	0	0.9155891682906422	1	0.6666666666666666
NBL1	2.6098153830210726e-5	0	2	2	-0.9090937179217468	1	0.8333333333333334
TRIM54	2.1458739087442263e-13	5.832836947271457e-16	3	2	-0.9035346370737534	1	0.8333333333333334
MB	8.592121733768526e-11	2.0572981984192194e-8	4	2	0.9017936141709371	1	1
HMGN3	3.781789761915056e-10	0.07772100342863966	7	0	0.8997272131273099	1	0.6666666666666666
USP5	5.893519695432038e-8	2.6806309848639776e-7	9	1	0.8867840373753141	1	0.8333333333333334
LOC113249819	2.9268966656088284e-7	0	2	2	-0.8848253346367441	1	0.8333333333333334
ADSL	2.358008441967618e-8	0.051289962196306715	5	0	0.8844195647379816	1	0.8333333333333334
FAN1	2.0080946274586694e-16	1	7	0	0.8662887235693396	1	1
PDLIM5	1.7662813222090591e-35	1	10	0	0.8548789279516192	1	1
IL1R1	1.272111517650025e-9	1.966384654396775e-9	9	2	0.8527788920768916	1	0.8333333333333334
AUP1_DQX1	8.674792457170888e-4	1.3365855780846385e-4	3	2	0.8527218515285299	1	0.8333333333333334
UVSSA	6.758176686975617e-6	3.9997641691916795e-7	7	1	0.8517416431893896	1	1
LOC113247381	7.266373952613828e-16	5.149306648310016e-12	4	1	-0.8501473343332241	1	1
SAG	0.03063917070392227	1	4	0	0.8463686303521385	1	0.6666666666666666
HMCES	0.004243481810068693	0.0620344128273514	3	0	0.8412368055111715	1	0.6666666666666666
FHL2	4.184810985074375e-27	1.9727772921046431e-25	4	2	0.8330726110872335	1	1
PRKCD	2.4377413711263525e-4	3.250177925344795e-5	3	2	-0.8313930359323831	1	0.8333333333333334
PFKFB4	0.009966414332720894	1	5	0	0.8308092863368275	1	0.5
B3GNT9	0.005676754855002427	0.11728099889405444	3	0	0.8290730739755088	1	0.5
ARF3	1.490482694605042e-11	2.2349117205260607e-13	3	2	-0.828415371001942	1	1
