gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Lung)	pct_gene_expr	max_pct_tx_expr
TGM2	2.5556303138158358e-5	1.1332102051587282e-4	3	1	-0.9157381057502989	1	0.8333333333333334
LOC113246330	7.615492628327669e-5	0	2	2	0.8815419771903839	1	0.8333333333333334
TSPAN8	2.3383810868783582e-4	1.1266813381164815e-5	3	2	0.8549445103953093	1	0.8333333333333334
FMO1	2.9907565257450576e-9	5.482804490933648e-7	4	1	-0.8462212872855304	1	1
UNC5B	0.0298929862396048	0.001164766451251748	3	1	0.8416528706937089	1	0.6666666666666666
IRF8	6.077691249980776e-6	1.755429994572646e-5	3	1	0.8401083840493544	1	0.8333333333333334
LOC113269902	0.0019008764165351446	6.64048487691255e-4	3	1	0.8389869765030534	1	0.8333333333333334
SLC2A3	1.375539870126518e-4	9.550666247981047e-7	4	2	0.8250395448444128	1	0.8333333333333334
HECW2	7.195250511966283e-7	7.098087603389461e-7	3	2	0.8157341150343721	1	0.8333333333333334
FGFBP1	0.011772482561344413	1	4	0	0.8093352117688931	0.8333333333333334	0.8333333333333334
SCN3A	0.011084978996976228	0.034788979878844946	4	1	-0.8059239997290908	1	1
FDXACB1	0.010216684532190096	0	2	2	-0.7970668306014315	1	0.8333333333333334
POU2F1	0.009007231744727746	0.0012088702389329497	3	2	-0.7960095401526467	1	0.8333333333333334
TBC1D32	4.0969202813004076e-5	8.57327974453472e-6	3	2	0.7944380472098863	1	0.8333333333333334
MYBL1	0.009757832321930636	0	2	2	-0.7912777093553868	1	0.8333333333333334
PIP5K1B	0.00165954997929282	6.12856437434214e-4	7	1	0.787924601937704	1	0.6666666666666666
SLC22A3	1.3105676503166624e-5	5.798509018377363e-6	4	1	0.7869385023860329	1	1
LOC113257933_NECAP1	3.82881914192415e-4	0.017610692415973794	3	1	-0.7843121503055986	1	0.8333333333333334
STAB1	0.01556404095144781	0.008483857402981035	3	1	-0.7796123168417861	1	0.8333333333333334
CKMT1B	0.002728437592502631	0	2	2	-0.7787912931356681	1	0.8333333333333334
CAMK2B	0.021394779157862392	0.007378009137196364	6	1	0.7749377717163806	1	0.8333333333333334
RAB25	0.004821150089932312	6.129851153722029e-4	3	2	0.7695407334877605	1	1
AGPAT4	0.0026597711582692645	0	2	2	0.7548598275304929	1	0.8333333333333334
LOC113259202	0.009375827889230498	1	3	0	0.7535030534366947	1	0.6666666666666666
