gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Stomach-Small Intestine)	pct_gene_expr	max_pct_tx_expr
METTL7A	0.019689570832871033	1	3	0	0.8941858612440574	1	0.5
DOCK4	0.019689570832871033	0	2	2	-0.8712583578029807	1	1
TMEM200B	0.013743167457545436	0.01620864527317987	3	1	-0.807666981933938	1	1
LOC113265231	0.013743167457545436	1	5	0	0.6547144082880948	1	1
LRSAM1	7.347253874107947e-4	0.05260143173527248	6	0	-0.6495770771466531	1	1
KIAA1147	0.026746626448485106	0	2	2	0.6451230255068707	1	1
LTBP3	0.026746626448485106	0.4364520042057379	3	0	-0.6355448928458238	1	1
PDE9A	0.04265789351024312	0.5106355800854342	5	0	0.6117435940855991	1	0.75
PAPSS2	0.019689570832871033	0.20458969103009655	6	0	0.6044588458637007	1	1
CSGALNACT1	0.044728792074646515	0.020223671379965107	3	1	-0.5934612815942806	1	1
PATL1	0.013743167457545436	1	7	0	0.5333543147843945	1	1
DHRS3	0.013743167457545436	1	6	0	-0.4257733228221565	1	1
PACS2	0.028258318607570936	0.10660222786681331	7	0	-0.3741201349007762	1	1
ELOVL6	0.026746626448485106	1	6	0	-0.27787159563889685	1	1
SENP6	7.816203071156925e-4	0.13472334573461733	9	0	0.27200760021282777	1	1
