gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Ventricle-Stomach)	pct_gene_expr	max_pct_tx_expr
NBL1	4.8406203163740595e-5	0	2	2	-0.9736723992385797	1	0.8333333333333334
USP28	3.5678616597436447e-23	1.2715240520915188e-15	6	1	-0.9030454179614221	1	0.6666666666666666
ELMO3	0.023199920432480987	1	7	0	0.9023414938405931	1	0.6666666666666666
FHL2	3.0280668680270436e-6	0	2	2	-0.89778386683987	1	0.8333333333333334
TUBA8	8.26803814365529e-11	0.0039672981628615265	4	2	0.8939052287531455	1	0.8333333333333334
UNC45B	0.016529724199015945	0.0018630917397777854	3	2	-0.8847481019880171	0.8333333333333334	0.8333333333333334
EPHA5	0.002096276567025248	1.0071320209165563e-4	4	1	-0.8806636627391576	1	0.8333333333333334
LOC113243837	0.03810916303109561	1	3	0	0.84866281945067	1	0.5
SOCS7	0.0032974582808098646	7.80355937323347e-4	3	1	0.8360827008014756	1	1
IFT20	5.519661744389402e-7	5.898401871735286e-8	5	1	0.8311672330361805	1	1
NEBL	6.233743595270916e-26	1.3619164207393202e-26	4	2	0.8307463963348667	1	1
SH3BGRL2	5.524900604260034e-6	1	4	0	0.8199082266261993	1	0.6666666666666666
CAMKK1	0.006240258790830726	1	4	0	0.8080246940902701	1	0.6666666666666666
HEATR1	0.02415874580312831	0.008262951920908958	3	2	0.8040661409344398	1	1
LOC113268666	1.2331607579444737e-6	1.728000608383567e-6	5	1	0.7968584002471665	1	0.8333333333333334
TRIM54	0.0062294294098012085	5.586984309100015e-4	3	2	-0.7967857605126779	0.8333333333333334	0.8333333333333334
USP5	1.8262624757420084e-6	7.981996966137475e-4	9	1	0.7898025443405107	1	1
OSBPL3	0.010983461264944691	0.012350748945078116	4	1	0.7778369383171206	1	0.8333333333333334
TBX3	0.01576713008055829	0	2	2	0.776788471912084	1	0.8333333333333334
SYNPO	1.58907079203338e-7	9.394913202880158e-4	6	1	0.7745115025215592	1	1
HMGCS1	0.016210186986666732	0.036242030446341784	6	1	0.7740629785113606	1	0.8333333333333334
LOC113249819	1.2880877395187322e-5	0	2	2	-0.772733421483993	1	1
FOXP4	0.01944318550418712	0.002688744227426539	5	1	0.7717252577259858	1	0.6666666666666666
CDH19	1.7649994089386216e-4	0.001037710073705942	3	1	-0.7713922901402404	1	0.8333333333333334
LRRC2	0.004988448331915701	1	12	0	-0.770003914042693	1	0.8333333333333334
USP10	0.008442397317125623	5.63829941323179e-4	11	1	0.7698428144262828	1	0.8333333333333334
NOA1	0.02386416119689275	0.021400981461769587	3	1	0.7622796110290182	1	1
TIPARP	0.041551924829301236	0.02097324898531398	3	2	0.7617687454821787	1	1
SEC61A2	0.005077140742058562	0.0034860902333408664	3	1	0.7602100620899052	1	0.8333333333333334
HUS1	6.645805697183319e-4	9.635885759609855e-4	6	1	0.7593485088932896	1	0.8333333333333334
