gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Kidney_medulla)	pct_gene_expr	max_pct_tx_expr
VEPH1	6.545670236721085e-22	1.3280428918996896e-23	5	3	0.918778866836768	1	1
SGF29	3.81945014121835e-30	1.4542193200429217e-5	4	1	-0.8792248410564322	1	1
LOC113245463	0.022829227923413162	0.015965085797197413	3	1	-0.8760279525641651	1	1
PRLR	3.2824511688432645e-4	5.532250855464575e-4	3	1	-0.8707999348615263	1	0.75
ZNF275	0.007480863021466781	0.0013322568714463723	3	1	0.8654292983787987	1	0.75
RAB33B	1.2539636743698183e-4	4.4474420411524076e-5	3	1	-0.8610047661192369	1	0.75
PDZD3	0.0066475473854768555	0	2	2	0.8552921208148228	1	1
PDE10A	0.013037276596739098	1	3	0	-0.8505436989862962	1	0.75
NCAPG2	2.9374633292088323e-6	0.9593022229812862	7	0	-0.8418872831153272	1	0.75
SRL	0.010636915390829572	0.006455441099677938	3	1	0.8366391297451553	1	1
PLEKHG2	0.002345487414522738	0.002524974146344078	3	1	-0.8138427673332533	1	0.75
LRMP	0.017156903908509755	0.0037508009627133586	4	1	-0.8130773911259729	1	0.75
UNKL	8.668276979004598e-4	7.548856882927339e-4	4	1	-0.8084735730104531	1	0.75
DMGDH	2.6698846255780558e-11	2.206014044822519e-10	8	1	0.8083474794539761	1	0.75
OLFML2A	0.009256086646581556	0	2	2	0.792369083314995	1	0.75
HPS4	0.029122990146386644	1	7	0	-0.7806410678590948	1	0.75
AGBL4	0.021511250172135794	0	2	2	-0.7747196660152197	1	0.75
RALGPS2	0.020309607239061955	0.032546708533477034	3	1	0.7648453144725208	1	1
FADS3	0.01120042154108048	0.7378709579345779	4	0	-0.7530482266196838	1	0.75
ABCC4	0.0038333647004793114	0.005845491242873701	4	1	0.7530114935362416	1	1
KBTBD4	0.017156903908509755	0.025413742534562675	5	1	0.7484491002132085	1	0.75
ZNF48	0.03488191650736991	0	2	2	0.7476756998621774	1	0.75
DOCK5	0.032835865664943946	0	2	2	0.7443653686463536	1	1
DCLK1	0.03365742264677165	0.0036996692170973506	5	1	-0.7423786659729442	1	0.75
CIDEC	1.7508698965476314e-4	0.002928529712252029	6	1	0.7420567416007816	1	0.75
LIPE	5.3531647623072e-12	7.298955212723908e-12	5	1	-0.7392411630039081	1	1
SH3BP2	0.0028730336141161725	0.020685824507053703	3	1	-0.7392161539082467	1	0.75
GK	2.356480778031425e-8	1	6	0	0.7372782683915504	1	1
IVD	8.286482319313615e-5	0.003832110489844047	4	1	-0.7305003266107546	1	1
PIP5K1C	0.029874532441673155	0.031256339148209814	4	1	0.7300751064289228	1	1
WISP1	0.023517355459984412	0	2	2	0.7276553603134523	1	0.75
PVR	0.010121500903724821	0.0015958960186221495	3	2	-0.7186793692973522	1	1
FRAS1	9.715134350264897e-5	4.476676950706248e-4	4	2	-0.7158604911951422	1	1
CCDC50	1.1302764182317776e-13	0	2	2	0.7156674467624116	1	1
