gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Gall Bladder-Stomach)	pct_gene_expr	max_pct_tx_expr
LOC113263599	0.026891041255420103	1	3	0	-0.9178577107926718	1	0.5
GAREM1	0.006143401778896003	0	2	2	-0.8724790805752378	1	1
LOC113261605	0.009442446391725878	0.0043970120611391775	3	1	0.8255055920277536	1	1
TRIM13	0.012028682985308476	0.4509754201327177	3	0	-0.8219020240533458	1	0.75
TRERF1	0.021630378096178814	0.018098272403797393	3	1	-0.7984144886187299	1	0.75
DGAT2	0.005188743374277641	1	3	0	0.797520985619372	1	0.75
SAMD12	0.020541873634884963	0	2	2	-0.7952427866647752	1	1
IFT74	0.007793146251634277	1	3	0	0.7871714185636457	1	0.75
PARP16	0.026452530822764435	1	3	0	0.7817488173129424	1	0.75
WBP1L	0.013895518730102613	0.013059949636390395	3	1	-0.7596305120314744	1	1
PIGM	0.044915057885163485	1	3	0	-0.7481333335370424	1	0.75
EIF2AK4	4.484238385247908e-4	7.827328049512029e-4	4	1	-0.7389543961436261	1	1
FAHD1	0.04759963253362914	0.020206545928211597	3	1	-0.7271133941429074	1	1
RABGGTA	0.03042248869476249	0.006569488390719834	4	1	-0.7235735776567509	1	1
PPFIA3	0.028814007536505745	0.08160126337240807	5	0	-0.7072901527102663	1	1
CCDC43	0.012028682985308476	0.00965145894866518	6	1	-0.6888516696707344	1	0.75
TMLHE	0.03108111327323589	0.037131744496961376	5	1	0.6701969197188377	1	0.75
MRPS23	0.03337338270777972	0.14488572312498266	3	0	0.6679106502075709	1	1
ARMC7	0.049297208212534804	1	6	0	-0.6621382555078462	1	0.75
FAM210B	0.047218498277808586	0	2	2	-0.6499256939144468	1	1
TRDMT1	0.023230997333588407	0.38208032172658635	5	0	-0.6476138700994544	1	1
SUPT6H	9.035958995075267e-4	1.694932690940965e-5	8	1	-0.6327951583807496	1	1
HSPA12A	0.044915057885163485	0.7215474059300486	5	0	-0.62597361094114	1	1
DOP1B	0.012028682985308476	0.027203114556973326	4	1	-0.6244307359399455	1	1
LOC113243743	0.02509485141965281	0.3962745904620465	6	0	0.6106762430388816	1	0.75
RFK	0.03789731861391508	0.04069979430901451	5	1	-0.609045152810923	1	1
MRPS27	0.019223362227287724	8.091038167815748e-4	5	2	0.6064779292078782	1	1
PRMT7	8.02405635092409e-4	4.904370842608684e-4	10	1	-0.6051957177115683	1	1
FBXL17	0.018970306071330705	0.006661913858307691	4	1	-0.6049157925253158	1	1
BAZ2A	0.0026405754056411123	0.05664950136819286	8	0	-0.598556518644013	1	1
ERAP2	0.037462931169477624	1	4	0	-0.5977334497155399	1	1
HLF	0.0026405754056411123	1	5	0	0.5947551858515947	1	0.75
ZNF165	0.034817665820268205	1	3	0	0.5867944074589556	1	1
REEP5	4.8989018239017875e-5	9.890417897075337e-7	4	2	-0.585790322239489	1	1
NHEJ1	0.027622910140691133	0.1332159442265998	6	0	0.5849081126180182	1	1
EXTL3_LOC113269942	0.023230997333588407	0.09047993877815624	4	0	0.5803662943445629	1	1
PRR14L	0.020541873634884963	0.19099578159566663	4	0	0.5796412188319964	1	1
ADSL	0.0026405754056411123	0.18465792447253004	5	0	-0.5738464687616415	1	1
MTM1	0.04025523531084749	1	6	0	-0.5660029622360011	1	1
LOC113261110_TMEM30A	0.03851523989064674	0.04689205509954907	3	1	-0.5642189446601424	1	1
SLC37A4	0.03851523989064674	1	5	0	0.563345795214949	1	0.75
TNNT2	0.02183903168213231	0.007786839856564434	3	1	0.5630530773810167	1	1
KCTD15	0.02379464303933156	0.21077265339311202	6	0	-0.5608348381106976	1	1
ZC3H12C	0.001377695174635268	0.04557658985092682	4	1	-0.5604928257120205	1	1
RCN1	0.004291402944793786	8.38777293809337e-4	3	1	-0.5575004075036663	1	1
