gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
PCBP4_ABHD14B	1.852058100337093e-8	0	2	2	0.9999925615599343	0.5	0.5
TSPYL5	0.0018056889457308204	0.002785285578959134	3	1	-0.9871117849871459	1	0.75
RTN4	2.1951088541748565e-33	3.9151672997832427e-10	8	1	0.9188215572622379	1	1
XRN2	0.0019500941417489148	4.274757678816831e-5	6	1	0.90117410734952	1	0.75
LOC113264264	8.211708209196499e-4	0	2	2	0.8959637992728791	1	0.75
PHACTR1	0.0018671344782985877	0.2992778681698449	6	0	0.8948285926844537	1	0.75
XPO5	4.830624361250474e-5	1.5079325665258852e-5	3	2	0.887691806344361	1	1
EML4	0.006809993271885615	6.523755291100577e-4	3	1	0.8820263362383166	1	1
ACTA1	0.001251201311589311	0.0072875928566313395	3	1	0.8779230636768698	0.75	0.75
PPP3CA	7.336030991722817e-5	0	2	2	0.8655776866334386	1	0.75
TRIM54	2.7832246987224887e-8	2.484476200982146e-10	3	2	-0.8652925793460916	1	1
SMPX	0.011346152615447013	0.05627584660937463	3	0	0.8632648159778994	1	1
MYL3	3.651486242083775e-4	1	5	0	0.8521812891875411	1	0.75
WDR55	0.004121458340989338	0.013503920354881219	3	1	0.8503914288326551	1	0.75
CMTR2	0.001819868591118625	0	2	2	0.8439099165112319	1	0.75
CPEB3	3.58393472543239e-9	0.2308236539291143	5	0	0.8435405678993968	1	1
NARF	0.003982216445043607	5.255029773714291e-4	5	1	0.8433283394399222	1	0.75
TAF1A	0.004645677420385313	1	3	0	0.8424810596645588	1	0.75
LOC113249819	1.3263211288543487e-6	0	2	2	-0.8410882806795588	1	1
GLE1	1.2835569317144085e-4	4.542326858717011e-5	3	1	0.8408633947128704	1	1
ZNF608	2.4681433134067445e-4	9.295594495588698e-5	4	1	0.8338023791837517	1	0.75
B4GALNT3	0.0023379899447222934	0.008659656022546517	3	1	-0.8269174954416256	1	0.75
DLG4	0.012124960062918775	0.001082361834744574	5	1	0.8236775614524017	1	0.75
FBXL12	0.0077561613062756005	0.0035774478294707808	3	1	0.8187129158487493	1	0.75
PERM1	0.025655640826591417	1	5	0	-0.8150320670043634	0.75	0.5
DESI1	0.048091455670098184	0.011425568390181561	5	1	0.8126022149430693	1	0.75
RECK	0.03364629951129097	0	2	2	0.8110373859367739	1	1
EIF2AK4	2.3395904287631272e-4	4.9863845379445456e-5	4	1	0.8107935126928152	1	0.75
PPWD1	0.0092802018659832	2.2961338992685986e-4	6	1	0.8103649879478457	1	1
ZBTB11	0.0016736782715409638	0.001783991414766715	3	1	-0.8079651899717744	1	0.75
SUMF2	0.017802455548422434	0	2	2	-0.8079589369938814	1	0.75
SLC35A3	0.005948071973442201	0.003915443961699029	4	1	0.8076364287750717	1	0.75
FGF13	0.02380155916360117	1	4	0	0.8067008771557709	1	0.75
BBS9	0.0010735460860861763	0.04380394131467261	4	1	0.8032462187794785	1	1
NFATC2	0.0018214236819652984	0.004197956669448546	4	1	0.802212771562506	1	1
LOC113270472	2.0808914539303033e-4	9.717918450714794e-5	4	2	0.8011546357750761	1	0.75
LOC113242661	0.029953304314347406	0.0029676831449722326	5	1	-0.7991328405956835	1	1
SAMD12	0.025327966731845186	0	2	2	-0.7977973824857137	1	1
ZCCHC10	4.913192122374e-4	0.20278007316460855	3	0	0.796318025986339	1	1
MYO5C	1.3413295395890717e-6	2.1746077918700548e-6	3	1	0.7940431832974848	1	1
MRPS27	7.344603683452344e-6	2.973560485912356e-7	5	2	0.7926620777031206	1	1
RIMKLB	0.022013012093836853	1	3	0	0.792052168938309	1	0.75
LOC113243786	0.03102874012485646	0.04266923472641769	3	1	-0.7917455259143447	1	0.75
ISYNA1	0.017405792125950066	0.015272741385150742	6	1	0.7907227384193534	1	0.75
FAXC	0.01473624424771427	0	2	2	-0.790302241871816	1	0.75
INPP5E	0.015483006456034802	0.00317774137760576	3	2	0.7884101352375273	1	1
PROS1	0.0012674466404774278	0.0017041807579494127	3	1	0.7870641371594695	1	0.75
NT5DC3	0.0056389648140420185	0	2	2	0.7869590170187203	1	1
IL1R1	5.859403888374527e-5	3.2074827185519854e-5	8	1	0.7818679056083724	1	0.75
MTMR1	0.010268655971159613	6.594857192575561e-4	4	1	0.779750684095341	1	0.75
SEC61A2	0.032225228418443275	0.010520961302266152	3	1	0.7777802324834634	1	0.75
LOC113259832_TAF1D	3.657904795023024e-5	1	6	0	0.7770478692536765	1	0.75
SETDB1	0.015253555839544691	0	2	2	0.7742035242491927	1	1
HMGN3	1.3263211288543487e-6	0.8207895026903304	7	0	0.7737992866301301	1	1
PLXNB2	2.1884886493219378e-7	2.2375956336660922e-7	9	1	0.7719286248613533	1	1
LOC113246267_PPM1B	0.021337053197494297	0.00639137108769563	3	2	0.771902771977099	1	0.75
MB	2.2225144155217885e-4	0.001640804090012605	4	1	0.7712602086878637	1	1
ITGB1BP2	0.002235523554946406	0.21140087036527586	4	0	0.7704756492492645	1	0.75
SLC16A9	0.0165201655151418	0.026081727243473192	4	1	-0.7696706756435323	1	0.75
RELCH	2.920174529738933e-4	0.028575078073480496	7	1	0.7683850556736513	1	0.75
TEX10	4.588629628183399e-5	8.096615014198058e-6	9	1	0.7681600532263165	1	0.75
TRAK1	1.3792904135631874e-13	1.1979977215888266e-15	8	2	0.7671139100482465	1	1
DENND2A	0.013455863244323213	0	2	2	0.7666171822218254	1	0.75
SYNJ1	0.018525422696408035	0.010274505788480113	3	1	0.7661030594157205	1	1
KIAA1324	1.223606749053956e-6	1	4	0	0.7636045977882452	1	1
MON2	2.9656173753274e-4	5.354599228715369e-4	5	1	0.7628801980192996	1	1
KCNN3	0.0257135517401191	0	2	2	0.7625569156826457	1	0.75
FASTKD3	0.005295351580633377	0.0013917918199007275	4	1	-0.7619098433568692	1	1
BBS10	0.020590220102920144	0.01914247193227263	3	1	0.7608790200026849	1	0.75
LIAS	0.005917636275184598	0.004016081475805133	4	1	0.7606778172495827	1	0.75
EXTL3	0.015553235666506288	0	2	2	0.7601549456632014	1	1
PRSS53	0.03477028234638641	0.0165126256426589	3	1	0.7600161221556181	1	0.75
ODF2	0.010556540205819588	1	9	0	0.7595987985651893	1	0.75
STAP2	0.0016415273387384002	1	3	0	0.755231632225397	1	0.75
CAPN15	0.0031094393580435374	0.09706747230324808	4	0	-0.7495849230165488	1	1
ANHX	0.011942309476847922	0.024459624385122232	4	1	-0.7492990827383454	1	1
LRRFIP1	1.7624278177078296e-7	9.394544039696408e-10	9	1	0.7487670431225716	1	1
LEPR	0.01058433602392157	1	5	0	0.7476314513495794	1	0.75
FMNL1	0.013720493632727555	0.01159957892641602	4	1	-0.7472108577811974	1	0.75
ANKRD39	3.699402617153285e-24	2.787832387326907e-12	9	1	-0.7459032100678583	1	1
SIX1	0.012221443235784824	0.08384962087834978	3	0	0.7443126807420466	1	0.75
UNKL	0.0038709177850175655	1	6	0	0.743402619837704	1	0.75
DNAJB5	4.0370073577032607e-4	0.00442114770085715	3	1	0.743101194515163	1	1
UTP20	0.0026278835170752655	0.005999780609103379	3	1	0.7421998076911235	1	1
LOC113259427	0.0056816781926164114	0.046560335249515944	6	1	0.7392890385909584	1	0.75
OTUD6B	1.402324582560676e-4	1.4025458975999638e-5	5	1	0.7375638599289464	1	1
ADSL	9.766286023437766e-5	0.4004938899065021	5	0	0.7369842567576693	1	1
PIK3R4	0.001255185668918495	0.27092875044079	5	0	-0.7362623610700697	1	1
MYBPC1	5.797946041126874e-9	1.9138594906650398e-8	13	1	-0.7347674604350258	1	1
ATG16L1_SAG	1.438165055688783e-4	3.292618528377819e-4	7	1	0.7347570090867405	1	1
LOC113246566	0.02768337050963794	0	2	2	-0.7345718267122711	1	0.75
RMND1	0.018795388629458235	0.01717015076374958	8	1	0.7343425618643606	1	0.75
LOC113261538	0.0018056889457308204	1	4	0	-0.7341467347494286	1	1
CSRNP2	0.04357841040170002	0	2	2	0.7327018777940497	1	0.75
