gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Liver)	pct_gene_expr	max_pct_tx_expr
TET1	5.80870837514927e-4	0	2	2	0.9959074132243622	1	1
FAXC	1.8864025067091135e-5	3.253313452804659e-7	3	2	-0.9709711476044992	1	1
KYNU	4.4636796762862185e-4	1	3	0	-0.9318270728706355	1	0.75
LOC113249444	0.002078345831500423	0.0026635828291876767	3	1	-0.9157464901389537	1	1
FETUB	0.038561593816808244	0.13269715740574947	3	0	-0.9130681903590852	1	1
ARID3A	3.8117654657860665e-4	0.12129209970854654	3	0	-0.8946667341235617	1	1
HSD17B13	1.9320903487692933e-5	0.07716063672694555	4	0	-0.8917515202094508	1	1
LOC113270472	1.19010123488523e-7	0.005300739752323509	3	2	0.8876952151177637	1	0.75
MFAP5	0.026178108004887554	1	4	0	0.8853695142471485	1	0.75
HSPA12A	2.916042481727013e-7	0.15060620507483155	3	0	-0.8829901569943459	1	1
LOC113249382	6.908393063875007e-4	1.723439863069583e-4	3	1	-0.8702378920291973	1	0.75
ZNF365	4.6276348098225716e-5	1	5	0	-0.8609395615565784	1	0.75
LOC113249318	1.405811328936402e-4	2.4092599007711297e-5	4	2	-0.8518638127526337	1	0.75
FAM200A	0.011536473929797229	1	3	0	-0.8444973985853051	1	0.75
WDR54	0.034509835833197285	1	4	0	-0.8387485042292039	1	0.5
ABCC2	2.4660133421586542e-14	2.4253093516632175e-17	5	2	0.8296309102132834	1	1
SLC10A1	0.016319074443559525	0.028374290997897126	4	1	-0.8280403165445263	1	1
WDR47	0.011536473929797229	0.0875946999100098	4	0	0.8240315350864664	1	0.75
TUBE1	0.03310650585600319	1	3	0	0.8222545933911838	1	0.5
DMGDH	7.335136651357126e-11	1	7	0	0.8172021673287235	1	0.75
CCL16	1.8398261341485728e-4	0	2	2	-0.8125202021856011	1	1
ACKR2	0.0015576809469161617	1	6	0	-0.811690490859804	1	0.75
CDON	1.3970643051547245e-7	1.4684064865946994e-4	4	1	0.80653791749567	1	1
TAT	4.4636796762862185e-4	0.021692619232929707	4	1	-0.8010127401792586	1	1
CDPF1	7.322710223433224e-4	1	5	0	-0.8007501297473744	1	0.75
DCLRE1C	0.001125637316165719	0.37496510872578315	4	0	-0.799539076367686	1	1
MMP12	0.007250984494790915	0	2	2	0.7981985179740514	1	0.75
RALGPS2	0.007303736671583309	0.009843530366453256	3	1	0.7962051113883942	1	1
RASSF7	0.03545223377288916	0.06844338830258738	6	0	0.7904267819151106	1	1
SLC2A9	3.241288786703883e-5	1	9	0	-0.787552972637586	1	0.75
RTN4	8.518417959426462e-13	7.618189639370219e-14	7	2	-0.7815239783804424	1	1
LOC113249328	2.5580326457608423e-6	1.9973577843591304e-6	6	1	-0.7810030177923959	1	1
ETV3	0.0025919984796372564	0.0018226410868165917	3	2	-0.775414200442021	1	1
A4GALT	0.006258880730797054	4.386472063558643e-4	11	1	-0.7726656733414017	1	0.75
RAB27A	0.030917695265338937	0.02954357878025291	5	1	-0.7720044282822889	1	1
LIMA1	2.560479440358711e-4	3.374548501966722e-4	6	2	-0.7697546821406861	1	1
AOC2	2.5580326457608423e-6	0	2	2	-0.758070106779632	1	1
novelGene_OGFOD2_AS	4.934366936908731e-4	1	4	0	-0.755477396792783	1	0.75
SPARCL1	2.3183991316019407e-11	7.550426574654589e-8	8	2	-0.7550161046079588	1	1
ACSL5	2.0197640750147314e-5	0.030126276550683524	4	1	-0.7533320756889419	1	1
KBTBD4	0.02706646144351973	0.08560382604228176	4	0	-0.7488946401301896	1	0.75
LOC113248019	0.03545223377288916	1	3	0	0.7488101296214353	1	0.75
GLIS3	0.010378711521438577	1	4	0	0.7406122728166727	1	0.75
EXO5	0.019662731676713112	0.36778372445562385	4	0	-0.73947488948364	1	1
KLF15	5.725103664611098e-6	2.4616700131350417e-7	3	2	0.736279259706603	1	1
OPLAH	0.012647544066695724	2.5191321679639576e-4	4	1	-0.7342900136499452	1	0.75
PDE3A	2.14097533519855e-14	9.844527446019708e-9	4	2	0.7342658652391251	1	1
IVD	1.9874614240766056e-4	0.0045128910852065655	4	1	-0.7281441495299946	1	1
LOC113264073	9.519277251401394e-4	0.2128856014219432	5	0	-0.728123515661988	1	1
IL11RA	1.2767750736063327e-5	8.500292077383016e-6	8	2	-0.7267648501909075	1	1
KIF13A	0.005786943120902398	0.21680108710662963	5	0	-0.7227893951165374	1	1
ANO1	0.006620885016805817	0	2	2	-0.7212425012782462	1	1
LOC113247918	0.004550592808428835	0.05335039690702995	8	0	-0.7163276367717178	1	1
ACO2	0.002078345831500423	7.980338450360846e-4	7	1	-0.7159153320746373	1	1
ZHX3	8.85231575797931e-5	7.677351774021424e-6	3	2	-0.7141591754695146	1	1
ADGRV1	1.1640575721523692e-4	1	6	0	-0.7133024137288344	1	1
OTC	2.5580326457608423e-6	0.013062695547171215	6	1	-0.7116797737227217	1	1
SUV39H1	0.04420051341156393	0.15168880897136572	3	0	0.7103567917411431	1	0.75
PHACTR1	2.8095742856106636e-5	8.449858286506284e-4	5	1	-0.7092576845298184	1	1
ACSL1	6.0917353176359716e-6	2.9888690961124127e-6	9	1	-0.7091012133418397	1	1
LOC113268943	7.392099253335944e-4	0.0016861380436703646	3	1	-0.7056501987803849	1	1
FES	0.019424206608569694	1	6	0	-0.7014874732820753	1	1
DTNA	0.024784650104627288	1	7	0	-0.6997059978604863	1	0.75
TBCEL	0.011696646868729621	0.07648172137313446	4	0	-0.6942323890604981	1	0.75
KPNA3	0.0030442646333863448	0.00749350239515236	3	2	-0.6922714379952641	1	1
CUNH1orf216	0.03993994097564103	0.012016831446407744	3	1	-0.6890483243855864	1	1
WIPF1	0.006837986109823015	1	5	0	0.6871588904062088	1	1
LOC113244018	1.9412692066877435e-5	0.018338870726218613	3	1	0.6833680507991062	1	1
TNPO2	0.012731377648771247	0.24755340017273803	4	0	-0.6829202824974875	1	1
ZNF236	5.926649046392726e-17	1	5	0	0.6822777725831245	1	1
PRKCD	0.01923970094160389	0.3211365675297463	3	0	-0.6795856805478054	1	1
TCEAL1	0.038561593816808244	0.019345328201593712	4	1	-0.6786334640835816	1	0.75
CADM3	0.001041795262198098	0.06546560468176828	3	0	0.6709094975960684	1	1
TONSL	0.04630787302412769	0.025507146326271612	3	1	0.6681663685901118	1	1
LOC113250446	0.00997345583133344	8.827094855526388e-4	3	2	-0.6618797520946111	1	1
CBS	1.6123289072555883e-4	0.06637312291723829	7	0	0.6607777175401328	1	1
RCL1	9.418834066466994e-12	6.418939020943868e-7	8	1	-0.655767564946759	1	1
SLC39A10	0.02761868923215129	0.4385463103465261	5	0	-0.6522676714941296	1	0.75
DDR2	0.02770581685503415	0.11223465780982697	4	0	-0.6480189354666828	1	1
KNG1	0.005047068302557616	0.02617583081117832	7	1	0.6459535663768284	1	1
ABCB1	0.001082263795918922	0.12626785608067856	6	0	-0.6456251111075986	1	1
FITM2	4.9307071906877534e-5	1.609164490214677e-6	4	1	-0.6450771469919794	1	1
CDC23	0.0032029455065337165	1	7	0	0.6425420493352612	1	0.75
SLC9A8	0.004981368142319871	0.015319203549121233	6	1	0.640418825507586	1	1
EML1	0.0200894962771778	0.0032199731203457795	5	1	-0.6386317825326681	1	1
HDAC5	0.004708420306717738	0.04225465602566247	4	2	-0.6347092035417934	1	1
ACACA	7.425826128652519e-5	0.00463777459040535	11	1	-0.6323453870413802	1	1
PDLIM2	0.0017419936483355535	0.030677364519101823	6	1	0.6312490196787831	1	1
PLIN2	0.011536473929797229	0.057131967186704505	7	0	-0.6305803509878386	1	1
POSTN	0.0032870038095651278	0.6289071604520811	6	0	0.6273788529121803	1	1
ELOVL5	0.00685067562490411	0.00513278273282458	10	1	-0.6210710300841165	1	0.75
FRMD6	0.049564806222497586	0.04583381713963491	5	1	-0.6198395259577241	1	1
LRRC8A	2.0394827623927594e-4	4.422813348710018e-4	4	1	-0.6191677342327608	1	1
CAMKK2	2.7998904734330004e-4	0.49551375952369325	10	0	-0.6186929413999545	1	1
