gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Atrium)	pct_gene_expr	max_pct_tx_expr
LOC113270362	0.022478603672599844	0.02144546426096586	3	1	-0.9999834031398186	0.3333333333333333	0.3333333333333333
TNNT2	6.273446590445568e-4	3.172288730839539e-5	3	1	0.9927819851881308	0.8333333333333334	0.8333333333333334
ATP5F1C	9.807087155897384e-66	1.038828441205557e-69	3	3	-0.9083653644537024	1	1
TPM4	1.844326353856728e-52	1.1779626809658095e-44	4	3	0.9079927164843389	1	1
PNKD	0.008358197538670143	1	5	0	-0.9067872376021059	1	0.6666666666666666
PDLIM5	1.9911534963270486e-38	1.209116905968602e-34	7	1	-0.8935782263848854	1	1
ARID3A	4.3249779462052254e-4	0.19633612992470115	3	0	-0.8841072037848587	1	1
ANKRD1	1.6075295689726567e-5	0	2	2	0.8836665321109798	1	1
CD53	0.009076753818952506	1	3	0	0.8816059846231431	1	0.5
FLNC	1.3288114981435885e-27	9.837216003381072e-16	6	1	0.8804686656336088	1	1
SAMD4B	1.5725271181010525e-4	0	2	2	0.8787953297889195	1	0.8333333333333334
EVI5L	5.097219987426013e-5	2.8985940607677546e-5	4	1	-0.8749838536557722	1	1
MYL4	0.014712648172017773	1	4	0	-0.8702318379047229	1	0.8333333333333334
HHATL	0.02518224228046795	0.3305170443426737	4	0	-0.8620049789412769	1	0.6666666666666666
FICD	0.032531831050876384	0.30689815801872766	3	0	-0.8578323043217457	1	0.5
SRL	6.135598928641106e-9	4.0455634228564203e-10	4	1	0.8548658263637553	1	1
CRNKL1_LOC113258304	4.8232362458492436e-4	0	2	2	0.8543035460368473	1	0.8333333333333334
MSI2	1.9480096961417095e-5	2.292067829802539e-6	4	2	0.8536819930231344	1	1
MTFP1	0.00853710964729132	0.2377214834665865	3	0	-0.852819065550028	1	1
CCNJ	0.007612668383708103	0.0019684460834966276	3	1	0.852699418338205	1	0.8333333333333334
LOC113264036_RNF145	0.0015676466556539558	6.867728810818309e-4	4	1	-0.851644996804195	1	0.8333333333333334
MGST1	3.971220361657052e-20	2.8024275278898044e-8	4	2	0.8497332207906633	1	1
SYT7	6.034560551205054e-4	0	2	2	-0.8485037005224911	1	0.8333333333333334
ABCC4	0.0327712264990078	0.1909017078602712	3	0	0.8410773427451989	1	0.6666666666666666
KCNIP3	0.002636688841456094	4.467414342844747e-4	3	2	-0.8368206971243157	1	0.8333333333333334
ANKRD39	2.9557241787100804e-60	3.149853447787848e-39	7	2	0.8324750755429412	1	1
HMGN3	1.7848825747663526e-8	2.6582478118281576e-10	6	1	-0.8243751740666737	1	0.8333333333333334
MB	2.2863833008409033e-4	0.016673480647188887	4	2	-0.8222670012533925	1	1
PIP5K1C	0.00499647426908556	0.002370718033278127	3	2	-0.8076125533043813	1	0.8333333333333334
SYNC	2.7180533951111326e-7	3.593332761647116e-7	5	1	0.8037066264565629	1	0.8333333333333334
RHBDL3	0.0018416047155773115	4.3743289422418376e-4	3	2	-0.8015579755815763	1	1
LOC113248649	0.00292408351598766	0.0026259622292703483	3	1	-0.8010912273846506	1	1
SYNPO	1.0381803049937416e-4	3.348679839919296e-5	5	1	-0.7990124096523056	1	0.8333333333333334
LOC113245842_TMEM41B	1.2565202151153067e-4	7.0776448600249505e-6	3	1	0.7975023722668548	1	1
CACNA2D3	5.451126905706548e-7	1.7128230013341742e-8	3	2	0.7888980475146126	1	1
SMTN	8.147378422492795e-14	1.7182418351578026e-12	7	1	-0.7872047169594255	1	1
CEP85L	2.6048242230782877e-4	0	2	2	0.7842297653766074	1	1
PPP1R3A	5.307522318880595e-6	2.0377828616011988e-6	5	1	0.7805853960449172	1	1
IVD	2.733370613878421e-5	9.948736198535945e-4	4	1	-0.7693202591285215	1	1
LOC113266127	0.010484028192557343	0.01222565186403713	4	1	-0.7664104092437387	1	0.8333333333333334
PTK2B	0.03811146172007431	1	5	0	-0.7664055200721289	1	0.5
BNC2	2.2863833008409033e-4	0.002745623937777394	4	1	-0.7650247443318862	1	1
PLXNA3	9.824686669406965e-4	0.014403065548121608	4	1	0.7637771429503507	1	0.6666666666666666
ANKRD44	0.005722143947795375	0.00754230041859565	4	1	-0.7634253540394645	1	1
AMPD3	0.009286513214137863	0	2	2	0.763229096405962	1	1
PPP1R12B	5.461221036574327e-33	1.357588056860695e-35	4	2	-0.7620825014992536	1	1
NMNAT1_LOC113270532	0.0016628958841839266	8.52518914924119e-5	3	2	-0.7597006285297007	1	0.8333333333333334
LMOD3	0.04857116572416195	0.16654295009529269	3	0	-0.758768945580805	1	0.6666666666666666
FRAS1	3.390765732486318e-6	3.239531772382177e-6	4	2	-0.7570779079136293	1	1
DPF2	3.4277330077534794e-5	8.43101742145973e-6	3	2	-0.7568772621019348	1	1
ZNF287	0.02012018963873025	0.012455340007182479	3	1	-0.7555919486852204	1	0.8333333333333334
TMEM136	0.00535140572653294	0.020884131345916684	5	1	-0.7542793615964962	1	1
CPT1A	0.014712648172017773	0.0015702242391924142	5	1	-0.7536736348033706	1	1
RNF115	1.64777460152122e-9	6.450228046296207e-8	3	2	0.7517813324483575	1	1
TBC1D4	9.948652617547807e-5	1.8516780484049202e-4	5	1	0.7500266706478771	1	1
KCNE3	0.005322889035759175	0.006536302572769549	4	1	-0.7493039250514921	1	0.8333333333333334
RMND1	0.007004631118277088	0.007320364281667439	6	1	-0.7465977557738179	1	0.8333333333333334
UBASH3B	0.019075807591339068	0.5071385306531161	3	0	-0.7461642941128815	1	0.8333333333333334
ZNF275	0.03828172968256757	0.037797069901536466	3	1	0.745568817802067	1	0.8333333333333334
ART3	0.03462080543136909	0.6553131799789338	3	0	-0.7454328070609526	1	1
DOCK5	0.025214053900996115	0	2	2	0.744690963394212	1	1
BAG5	0.03726641182947472	0.020177128538295768	3	2	0.7435958777832605	1	1
PRKACB	3.9915248753302305e-40	2.7283820037945286e-43	3	3	-0.739692956385267	1	1
HPSE	0.029526365876438778	0.12849674993287427	4	0	-0.7374284527409011	1	0.6666666666666666
NEBL	6.166587179723688e-13	9.261338288094646e-15	4	2	-0.7368793749805439	1	1
ATF3	0.012295792621410772	0	2	2	-0.7332356567872865	1	0.8333333333333334
LOC113256005	0.048500666627627496	0.10585634614822448	3	0	-0.731235916232355	1	1
LOC113247918	3.677214619172924e-4	1.916920996392311e-5	7	1	-0.7309653796274994	1	1
VPS39	0.00324929023021124	0.03212462694931847	8	1	-0.7173636153988597	1	1
VPS52	1.1231614826736627e-4	0.0034119586782252447	7	1	-0.7170091492842718	1	1
WDR7	0.0011708891111955441	0	2	2	-0.7160049391105214	1	0.8333333333333334
LOC113249819	1.6304171538372021e-9	0	2	2	0.7149555655935547	1	1
PCDH7	2.0716191213960208e-15	4.24949187166636e-18	3	2	0.7085745642904129	1	1
STARD8	0.01608514853602891	0	2	2	-0.7054608057948918	1	1
ARHGEF37	0.020939853293150196	0.01292383782714843	4	1	0.7053669363640659	1	0.8333333333333334
HSPB2	0.005827142790625991	0	2	2	-0.704310533826647	1	1
LOC113250068	0.031154297194616907	0.0072125695222735485	3	1	-0.7011732195894071	1	0.8333333333333334
TET1	0.04704021643261714	0	2	2	0.6964226027847858	1	0.8333333333333334
