Orthogroup	ailMel.longCDS.prots	ursAme.longCDS.prots
OG0000000	rna-XM_034655739.1	transcript_ENSUAMT00000019106
OG0000000	rna-XM_011216961.3	transcript_ENSUAMT00000019134
OG0000000	rna-XM_034660129.1	transcript_ENSUAMT00000016033
OG0000000	rna-XM_002928532.4, rna-XM_034660128.1, rna-XM_002928555.4	transcript_ENSUAMT00000023255
OG0000000	rna-XM_002928539.4	transcript_ENSUAMT00000037815
OG0000000	rna-XM_034660130.1, rna-XM_019807833.2, rna-XM_019807839.2	transcript_ENSUAMT00000007414
OG0000000	rna-XM_034643200.1	transcript_ENSUAMT00000032553
OG0000000	rna-XM_034643203.1	transcript_ENSUAMT00000032589
OG0000001	rna-XM_002927085.3	transcript_ENSUAMT00000007156, transcript_ENSUAMT00000007424, transcript_ENSUAMT00000015929
OG0000001	rna-XM_002930225.4	transcript_ENSUAMT00000032586
OG0000001	rna-XM_034655740.1	transcript_ENSUAMT00000023253, transcript_ENSUAMT00000019173
OG0000001	rna-XM_034660126.1	transcript_ENSUAMT00000037783
OG0000001	rna-XM_002928374.4	transcript_ENSUAMT00000003994
OG0000001	rna-XM_002930223.4	transcript_ENSUAMT00000032577, transcript_ENSUAMT00000037813
OG0000001	rna-XM_034643187.1	transcript_ENSUAMT00000032539
OG0000001	rna-XM_034660123.1, rna-XM_034660121.1, rna-XM_034660125.1, rna-XM_034660122.1, rna-XM_034660124.1	transcript_ENSUAMT00000015993
OG0000004	rna-XM_002930681.2	transcript_ENSUAMT00000031540
OG0000004	rna-XM_034643050.1	transcript_ENSUAMT00000005444
OG0000005	rna-XM_002923243.4	transcript_ENSUAMT00000033482
OG0000005	rna-XM_034651777.1	transcript_ENSUAMT00000033458
OG0000005	rna-XM_002923246.4	transcript_ENSUAMT00000023405
OG0000005	rna-XM_011229901.3	transcript_ENSUAMT00000033418
OG0000005	rna-XM_002923244.4	transcript_ENSUAMT00000033436
OG0000005	rna-XM_011229902.3	transcript_ENSUAMT00000033430
OG0000005	rna-XM_011229956.3	transcript_ENSUAMT00000033423
OG0000007	id-LOC105235261, id-LOC117800014, id-LOC105235222, id-LOC109488764, id-LOC117798827, id-LOC117798806, id-LOC117798740, id-LOC100482805, id-LOC117798506	transcript_ENSUAMT00000001809, transcript_ENSUAMT00000000768, transcript_ENSUAMT00000036507, transcript_ENSUAMT00000007520
OG0000008	rna-XM_002930205.2	transcript_ENSUAMT00000007148
OG0000008	rna-XM_002928529.4	transcript_ENSUAMT00000006934
OG0000008	rna-XM_034660113.1	transcript_ENSUAMT00000023305
OG0000008	rna-XM_034667222.1	transcript_ENSUAMT00000028299
OG0000008	rna-XM_034651961.1	transcript_ENSUAMT00000004284
OG0000009	rna-XM_034656141.1	transcript_ENSUAMT00000000264
OG0000009	rna-XM_034656142.1	transcript_ENSUAMT00000000258
OG0000009	rna-XM_019795563.2	transcript_ENSUAMT00000038691
OG0000009	rna-XM_034656138.1	transcript_ENSUAMT00000000091
OG0000009	rna-XM_002912553.4	transcript_ENSUAMT00000000106
OG0000009	rna-XM_034656140.1	transcript_ENSUAMT00000000252, transcript_ENSUAMT00000000236
OG0000009	rna-XM_019795555.2, rna-XM_034656144.1	transcript_ENSUAMT00000038694
OG0000009	rna-XM_002912550.4	transcript_ENSUAMT00000000212
OG0000010	rna-XM_011218081.2	transcript_ENSUAMT00000024025
OG0000010	rna-XM_011218625.3	transcript_ENSUAMT00000020237
OG0000010	rna-XM_002921486.4	transcript_ENSUAMT00000026542
OG0000010	rna-XM_034662529.1	transcript_ENSUAMT00000021369
OG0000010	rna-XM_034661201.1	transcript_ENSUAMT00000005433
OG0000010	rna-XM_034652013.1, rna-XM_034651636.1, rna-XM_034652795.1, rna-XM_034651314.1, rna-XM_034644851.1	transcript_ENSUAMT00000034306
OG0000011	rna-XM_002928416.4	transcript_ENSUAMT00000026388
OG0000011	rna-XM_034643534.1	transcript_ENSUAMT00000029313
OG0000011	rna-XM_002920297.4	transcript_ENSUAMT00000010101
OG0000011	rna-XM_034671255.1	transcript_ENSUAMT00000020782
OG0000011	rna-XM_019808018.2	transcript_ENSUAMT00000041262
OG0000011	rna-XM_034661964.1	transcript_ENSUAMT00000033609
OG0000011	rna-XM_034661745.1	transcript_ENSUAMT00000027468
OG0000011	rna-XM_002925177.4	transcript_ENSUAMT00000040423
OG0000011	rna-XM_034657115.1	transcript_ENSUAMT00000005777
OG0000012	rna-XM_002928187.4	transcript_ENSUAMT00000034591, transcript_ENSUAMT00000004903
OG0000012	rna-XM_002928201.3	transcript_ENSUAMT00000019105
