Gene stable ID	Gene stable ID version	Gene name
ENSG00000100884	ENSG00000100884.9	CPNE6
ENSG00000100985	ENSG00000100985.7	MMP9
ENSG00000101040	ENSG00000101040.19	ZMYND8
ENSG00000101200	ENSG00000101200.5	AVP
ENSG00000101203	ENSG00000101203.16	COL20A1
ENSG00000101222	ENSG00000101222.12	SPEF1
ENSG00000101405	ENSG00000101405.3	OXT
ENSG00000101639	ENSG00000101639.18	CEP192
ENSG00000102053	ENSG00000102053.12	ZC3H12B
ENSG00000102096	ENSG00000102096.9	PIM2
ENSG00000102362	ENSG00000102362.15	SYTL4
ENSG00000102531	ENSG00000102531.16	FNDC3A
ENSG00000102539	ENSG00000102539.5	MLNR
ENSG00000102543	ENSG00000102543.14	CDADC1
ENSG00000103021	ENSG00000103021.9	CCDC113
ENSG00000103034	ENSG00000103034.14	NDRG4
ENSG00000103365	ENSG00000103365.15	GGA2
ENSG00000103426	ENSG00000103426.12	CORO7-PAM16
ENSG00000103540	ENSG00000103540.16	CCP110
ENSG00000104327	ENSG00000104327.7	CALB1
ENSG00000104827	ENSG00000104827.12	CGB3
ENSG00000104904	ENSG00000104904.12	OAZ1
ENSG00000104960	ENSG00000104960.15	PTOV1
ENSG00000104983	ENSG00000104983.8	CCDC61
ENSG00000105245	ENSG00000105245.9	NUMBL
ENSG00000105261	ENSG00000105261.7	OVOL3
ENSG00000105281	ENSG00000105281.12	SLC1A5
ENSG00000105366	ENSG00000105366.15	SIGLEC8
ENSG00000105501	ENSG00000105501.12	SIGLEC5
ENSG00000105520	ENSG00000105520.10	PLPPR2
ENSG00000105668	ENSG00000105668.7	UPK1A
ENSG00000105672	ENSG00000105672.14	ETV2
ENSG00000105737	ENSG00000105737.9	GRIK5
ENSG00000105784	ENSG00000105784.15	RUNDC3B
ENSG00000105792	ENSG00000105792.19	CFAP69
ENSG00000105948	ENSG00000105948.13	TTC26
ENSG00000105954	ENSG00000105954.2	NPVF
ENSG00000106006	ENSG00000106006.6	HOXA6
ENSG00000106125	ENSG00000106125.14	MINDY4
ENSG00000106344	ENSG00000106344.8	RBM28
ENSG00000106346	ENSG00000106346.11	USP42
ENSG00000106399	ENSG00000106399.11	RPA3
ENSG00000106609	ENSG00000106609.16	TMEM248
ENSG00000106631	ENSG00000106631.8	MYL7
ENSG00000106714	ENSG00000106714.17	CNTNAP3
ENSG00000106823	ENSG00000106823.12	ECM2
ENSG00000106852	ENSG00000106852.15	LHX6
ENSG00000107562	ENSG00000107562.16	CXCL12
ENSG00000107679	ENSG00000107679.14	PLEKHA1
ENSG00000107731	ENSG00000107731.12	UNC5B
ENSG00000107796	ENSG00000107796.13	ACTA2
ENSG00000107816	ENSG00000107816.17	LZTS2
ENSG00000107819	ENSG00000107819.13	SFXN3
ENSG00000107833	ENSG00000107833.10	NPM3
ENSG00000107954	ENSG00000107954.10	NEURL1
ENSG00000107957	ENSG00000107957.16	SH3PXD2A
ENSG00000108561	ENSG00000108561.8	C1QBP
ENSG00000108669	ENSG00000108669.16	CYTH1
ENSG00000108688	ENSG00000108688.11	CCL7
ENSG00000108691	ENSG00000108691.9	CCL2
ENSG00000109016	ENSG00000109016.17	DHRS7B
ENSG00000109089	ENSG00000109089.7	CDR2L
ENSG00000109255	ENSG00000109255.11	NMU
ENSG00000109452	ENSG00000109452.12	INPP4B
ENSG00000109458	ENSG00000109458.8	GAB1
ENSG00000109794	ENSG00000109794.13	FAM149A
ENSG00000110011	ENSG00000110011.13	DNAJC4
ENSG00000110200	ENSG00000110200.8	ANAPC15
ENSG00000110514	ENSG00000110514.19	MADD
ENSG00000110848	ENSG00000110848.8	CD69
ENSG00000110888	ENSG00000110888.17	CAPRIN2
ENSG00000110975	ENSG00000110975.8	SYT10
ENSG00000111291	ENSG00000111291.8	GPRC5D
ENSG00000111325	ENSG00000111325.16	OGFOD2
ENSG00000111344	ENSG00000111344.11	RASAL1
ENSG00000111780	ENSG00000111780.8	
ENSG00000112208	ENSG00000112208.11	BAG2
ENSG00000112419	ENSG00000112419.14	PHACTR2
ENSG00000112462	ENSG00000112462.8	OR12D3
ENSG00000112530	ENSG00000112530.11	PACRG
ENSG00000112624	ENSG00000112624.12	BICRAL
ENSG00000113296	ENSG00000113296.14	THBS4
ENSG00000113648	ENSG00000113648.16	MACROH2A1
ENSG00000113749	ENSG00000113749.7	HRH2
ENSG00000113758	ENSG00000113758.13	DBN1
ENSG00000113805	ENSG00000113805.8	CNTN3
ENSG00000114023	ENSG00000114023.15	FAM162A
ENSG00000114113	ENSG00000114113.6	RBP2
ENSG00000114455	ENSG00000114455.13	HHLA2
ENSG00000114786	ENSG00000114786.16	ABHD14A-ACY1
ENSG00000115207	ENSG00000115207.13	GTF3C2
ENSG00000115252	ENSG00000115252.18	PDE1A
ENSG00000115257	ENSG00000115257.15	PCSK4
ENSG00000115488	ENSG00000115488.3	NEU2
ENSG00000115520	ENSG00000115520.8	COQ10B
ENSG00000115592	ENSG00000115592.11	PRKAG3
ENSG00000115607	ENSG00000115607.9	IL18RAP
ENSG00000115762	ENSG00000115762.16	PLEKHB2
ENSG00000116032	ENSG00000116032.5	GRIN3B
ENSG00000116176	ENSG00000116176.6	TPSG1
ENSG00000116221	ENSG00000116221.15	MRPL37
ENSG00000116473	ENSG00000116473.14	RAP1A
ENSG00000116698	ENSG00000116698.21	SMG7
ENSG00000116731	ENSG00000116731.22	PRDM2
ENSG00000116754	ENSG00000116754.13	SRSF11
ENSG00000116885	ENSG00000116885.18	OSCP1
ENSG00000116903	ENSG00000116903.7	EXOC8
ENSG00000117143	ENSG00000117143.13	UAP1
ENSG00000117477	ENSG00000117477.12	CCDC181
ENSG00000117983	ENSG00000117983.17	MUC5B
ENSG00000118156	ENSG00000118156.12	ZNF541
ENSG00000118200	ENSG00000118200.14	CAMSAP2
ENSG00000118245	ENSG00000118245.2	TNP1
ENSG00000118308	ENSG00000118308.15	IRAG2
ENSG00000118418	ENSG00000118418.14	HMGN3
ENSG00000119522	ENSG00000119522.16	DENND1A
ENSG00000119616	ENSG00000119616.11	FCF1
ENSG00000119844	ENSG00000119844.15	AFTPH
ENSG00000120055	ENSG00000120055.7	C10orf95
ENSG00000120211	ENSG00000120211.4	INSL4
ENSG00000120279	ENSG00000120279.6	MYCT1
ENSG00000120333	ENSG00000120333.4	MRPS14
ENSG00000120341	ENSG00000120341.18	SEC16B
ENSG00000120658	ENSG00000120658.13	ENOX1
ENSG00000120913	ENSG00000120913.23	PDLIM2
ENSG00000121318	ENSG00000121318.2	TAS2R10
ENSG00000121377	ENSG00000121377.2	TAS2R7
ENSG00000121380	ENSG00000121380.12	BCL2L14
ENSG00000121381	ENSG00000121381.4	TAS2R9
ENSG00000121570	ENSG00000121570.12	DPPA4
ENSG00000121653	ENSG00000121653.11	MAPK8IP1
ENSG00000121764	ENSG00000121764.11	HCRTR1
ENSG00000122008	ENSG00000122008.15	POLK
ENSG00000122417	ENSG00000122417.15	ODF2L
ENSG00000122483	ENSG00000122483.17	CCDC18
ENSG00000122679	ENSG00000122679.8	RAMP3
ENSG00000122728	ENSG00000122728.6	TAF1L
ENSG00000122733	ENSG00000122733.12	PHF24
ENSG00000123094	ENSG00000123094.15	RASSF8
ENSG00000123106	ENSG00000123106.10	CCDC91
ENSG00000123388	ENSG00000123388.4	HOXC11
ENSG00000123416	ENSG00000123416.15	TUBA1B
ENSG00000123472	ENSG00000123472.12	ATPAF1
ENSG00000123576	ENSG00000123576.5	ESX1
ENSG00000124089	ENSG00000124089.4	MC3R
ENSG00000124091	ENSG00000124091.9	GCNT7
ENSG00000124107	ENSG00000124107.5	SLPI
ENSG00000124145	ENSG00000124145.6	SDC4
ENSG00000124181	ENSG00000124181.14	PLCG1
ENSG00000124208	ENSG00000124208.16	PEDS1-UBE2V1
ENSG00000124222	ENSG00000124222.22	STX16
ENSG00000124227	ENSG00000124227.5	ANKRD60
ENSG00000124334	ENSG00000124334.17	IL9R
ENSG00000124406	ENSG00000124406.16	ATP8A1
ENSG00000124496	ENSG00000124496.12	TRERF1
ENSG00000124564	ENSG00000124564.17	SLC17A3
ENSG00000124657	ENSG00000124657.1	OR2B6
ENSG00000124818	ENSG00000124818.15	OPN5
ENSG00000124900	ENSG00000124900.12	TRIM51
ENSG00000125037	ENSG00000125037.12	EMC3
ENSG00000125207	ENSG00000125207.7	PIWIL1
ENSG00000125246	ENSG00000125246.15	CLYBL
ENSG00000125363	ENSG00000125363.14	AMELX
ENSG00000125485	ENSG00000125485.17	DDX31
ENSG00000125611	ENSG00000125611.15	CHCHD5
ENSG00000125695	ENSG00000125695.12	
ENSG00000125734	ENSG00000125734.15	GPR108
ENSG00000125787	ENSG00000125787.11	GNRH2
ENSG00000125814	ENSG00000125814.17	NAPB
ENSG00000125823	ENSG00000125823.12	CSTL1
ENSG00000125885	ENSG00000125885.13	MCM8
ENSG00000125903	ENSG00000125903.4	DEFB129
ENSG00000126214	ENSG00000126214.21	KLC1
ENSG00000126251	ENSG00000126251.6	GPR42
ENSG00000126266	ENSG00000126266.3	FFAR1
ENSG00000126353	ENSG00000126353.3	CCR7
ENSG00000126768	ENSG00000126768.12	TIMM17B
ENSG00000127362	ENSG00000127362.2	TAS2R3
ENSG00000127366	ENSG00000127366.5	TAS2R5
ENSG00000127780	ENSG00000127780.3	OR1E2
ENSG00000128059	ENSG00000128059.8	PPAT
ENSG00000128250	ENSG00000128250.5	RFPL1
ENSG00000128276	ENSG00000128276.10	RFPL3
ENSG00000128284	ENSG00000128284.19	APOL3
ENSG00000128285	ENSG00000128285.4	MCHR1
ENSG00000128313	ENSG00000128313.2	APOL5
ENSG00000128519	ENSG00000128519.3	TAS2R16
ENSG00000128563	ENSG00000128563.13	PRKRIP1
ENSG00000128815	ENSG00000128815.19	WDFY4
ENSG00000128944	ENSG00000128944.13	KNSTRN
ENSG00000129351	ENSG00000129351.17	ILF3
ENSG00000129422	ENSG00000129422.14	MTUS1
ENSG00000129455	ENSG00000129455.15	KLK8
ENSG00000129749	ENSG00000129749.3	CHRNA10
ENSG00000130165	ENSG00000130165.10	ELOF1
ENSG00000130173	ENSG00000130173.13	ANGPTL8
ENSG00000130244	ENSG00000130244.12	FAM98C
ENSG00000130270	ENSG00000130270.16	ATP8B3
ENSG00000130348	ENSG00000130348.11	QRSL1
ENSG00000130383	ENSG00000130383.7	FUT5
ENSG00000130413	ENSG00000130413.15	STK33
ENSG00000130475	ENSG00000130475.14	FCHO1
ENSG00000130513	ENSG00000130513.6	GDF15
ENSG00000130589	ENSG00000130589.16	HELZ2
ENSG00000130669	ENSG00000130669.17	PAK4
ENSG00000130702	ENSG00000130702.15	LAMA5
ENSG00000130827	ENSG00000130827.6	PLXNA3
ENSG00000130876	ENSG00000130876.11	SLC7A10
ENSG00000130997	ENSG00000130997.16	POLN
ENSG00000131096	ENSG00000131096.10	PYY
ENSG00000131152	ENSG00000131152.4	
ENSG00000131374	ENSG00000131374.14	TBC1D5
ENSG00000131381	ENSG00000131381.12	RBSN
ENSG00000131620	ENSG00000131620.17	ANO1
ENSG00000131864	ENSG00000131864.10	USP29
ENSG00000131931	ENSG00000131931.8	THAP1
ENSG00000132003	ENSG00000132003.9	ZSWIM4
ENSG00000132016	ENSG00000132016.11	BRME1
ENSG00000132017	ENSG00000132017.10	DCAF15
ENSG00000132356	ENSG00000132356.11	PRKAA1
ENSG00000132693	ENSG00000132693.12	CRP
ENSG00000132958	ENSG00000132958.17	TPTE2
ENSG00000133193	ENSG00000133193.12	FAM104A
ENSG00000133195	ENSG00000133195.11	SLC39A11
ENSG00000133460	ENSG00000133460.19	SLC2A11
ENSG00000133561	ENSG00000133561.15	GIMAP6
ENSG00000133619	ENSG00000133619.17	KRBA1
ENSG00000133805	ENSG00000133805.15	AMPD3
ENSG00000133958	ENSG00000133958.13	UNC79
ENSG00000134028	ENSG00000134028.14	ADAMDEC1
ENSG00000134061	ENSG00000134061.5	CD180
ENSG00000134222	ENSG00000134222.16	PSRC1
ENSG00000134278	ENSG00000134278.15	SPIRE1
ENSG00000134369	ENSG00000134369.15	NAV1
ENSG00000134419	ENSG00000134419.15	RPS15A
ENSG00000134533	ENSG00000134533.6	RERG
ENSG00000134588	ENSG00000134588.12	USP26
ENSG00000134668	ENSG00000134668.12	SPOCD1
ENSG00000134775	ENSG00000134775.15	FHOD3
ENSG00000134954	ENSG00000134954.14	ETS1
ENSG00000135052	ENSG00000135052.16	GOLM1
ENSG00000135116	ENSG00000135116.9	HRK
ENSG00000135127	ENSG00000135127.11	BICDL1
ENSG00000135144	ENSG00000135144.7	DTX1
ENSG00000135222	ENSG00000135222.6	CSN2
ENSG00000135248	ENSG00000135248.15	FAM71F1
ENSG00000135355	ENSG00000135355.4	GJA10
ENSG00000135407	ENSG00000135407.10	AVIL
ENSG00000135436	ENSG00000135436.8	FAM186B
ENSG00000135441	ENSG00000135441.7	BLOC1S1
ENSG00000135443	ENSG00000135443.8	KRT85
ENSG00000135540	ENSG00000135540.11	NHSL1
ENSG00000135569	ENSG00000135569.4	TAAR5
ENSG00000135747	ENSG00000135747.11	ZNF670-ZNF695
ENSG00000135824	ENSG00000135824.12	RGS8
ENSG00000135828	ENSG00000135828.11	RNASEL
ENSG00000136099	ENSG00000136099.13	PCDH8
ENSG00000136169	ENSG00000136169.16	SETDB2
ENSG00000136305	ENSG00000136305.11	CIDEB
ENSG00000136811	ENSG00000136811.16	ODF2
ENSG00000136819	ENSG00000136819.15	C9orf78
ENSG00000136834	ENSG00000136834.3	OR1J1
ENSG00000136839	ENSG00000136839.1	OR13C9
ENSG00000136939	ENSG00000136939.1	OR1L4
ENSG00000136950	ENSG00000136950.13	ARPC5L
ENSG00000137218	ENSG00000137218.10	FRS3
ENSG00000137221	ENSG00000137221.14	TJAP1
ENSG00000137500	ENSG00000137500.9	CCDC90B
ENSG00000137501	ENSG00000137501.17	SYTL2
ENSG00000137507	ENSG00000137507.11	LRRC32
ENSG00000137707	ENSG00000137707.13	BTG4
ENSG00000137815	ENSG00000137815.14	RTF1
ENSG00000137875	ENSG00000137875.4	BCL2L10
ENSG00000137968	ENSG00000137968.16	SLC44A5
ENSG00000138036	ENSG00000138036.18	DYNC2LI1
ENSG00000138111	ENSG00000138111.14	MFSD13A
ENSG00000138606	ENSG00000138606.19	SHF
ENSG00000138802	ENSG00000138802.11	SEC24B
ENSG00000138835	ENSG00000138835.22	RGS3
ENSG00000138892	ENSG00000138892.11	TTLL8
ENSG00000139160	ENSG00000139160.13	ETFBKMT
ENSG00000139343	ENSG00000139343.10	SNRPF
ENSG00000139714	ENSG00000139714.12	MORN3
ENSG00000139800	ENSG00000139800.8	ZIC5
ENSG00000139865	ENSG00000139865.16	TTC6
ENSG00000139971	ENSG00000139971.15	ARMH4
ENSG00000140067	ENSG00000140067.6	FAM181A
ENSG00000140350	ENSG00000140350.15	ANP32A
ENSG00000140497	ENSG00000140497.16	SCAMP2
ENSG00000140538	ENSG00000140538.16	NTRK3
ENSG00000140876	ENSG00000140876.11	NUDT7
ENSG00000140939	ENSG00000140939.14	NOL3
ENSG00000141551	ENSG00000141551.14	CSNK1D
ENSG00000141854	ENSG00000141854.9	MISP3
ENSG00000141933	ENSG00000141933.9	TPGS1
ENSG00000141977	ENSG00000141977.9	CIB3
ENSG00000141979	ENSG00000141979.4	
ENSG00000141985	ENSG00000141985.9	SH3GL1
ENSG00000142197	ENSG00000142197.12	DOP1B
ENSG00000142396	ENSG00000142396.10	ERVK3-1
ENSG00000142459	ENSG00000142459.8	EVI5L
ENSG00000142494	ENSG00000142494.13	SLC47A1
ENSG00000142511	ENSG00000142511.4	GPR32
ENSG00000142539	ENSG00000142539.9	
ENSG00000142619	ENSG00000142619.4	PADI3
ENSG00000142875	ENSG00000142875.19	PRKACB
ENSG00000143006	ENSG00000143006.7	DMRTB1
ENSG00000143105	ENSG00000143105.7	KCNA10
ENSG00000143149	ENSG00000143149.12	ALDH9A1
ENSG00000143164	ENSG00000143164.15	DCAF6
ENSG00000143314	ENSG00000143314.12	MRPL24
ENSG00000143340	ENSG00000143340.6	FAM163A
ENSG00000143379	ENSG00000143379.12	SETDB1
ENSG00000143520	ENSG00000143520.6	FLG2
ENSG00000143536	ENSG00000143536.7	CRNN
ENSG00000143552	ENSG00000143552.9	NUP210L
ENSG00000143847	ENSG00000143847.15	PPFIA4
ENSG00000143851	ENSG00000143851.15	PTPN7
ENSG00000144048	ENSG00000144048.10	DUSP11
ENSG00000144057	ENSG00000144057.15	ST6GAL2
ENSG00000144130	ENSG00000144130.11	NT5DC4
ENSG00000144401	ENSG00000144401.14	METTL21A
ENSG00000144460	ENSG00000144460.12	NYAP2
ENSG00000144504	ENSG00000144504.15	ANKMY1
ENSG00000144559	ENSG00000144559.10	TAMM41
ENSG00000144674	ENSG00000144674.16	GOLGA4
ENSG00000144785	ENSG00000144785.8	
ENSG00000144792	ENSG00000144792.9	ZNF660
ENSG00000144802	ENSG00000144802.11	NFKBIZ
ENSG00000144843	ENSG00000144843.11	ADPRH
ENSG00000144893	ENSG00000144893.12	MED12L
ENSG00000145002	ENSG00000145002.12	FAM86B2
ENSG00000145022	ENSG00000145022.4	TCTA
ENSG00000145198	ENSG00000145198.14	VWA5B2
ENSG00000145358	ENSG00000145358.6	DDIT4L
ENSG00000145390	ENSG00000145390.11	USP53
ENSG00000145416	ENSG00000145416.13	MARCHF1
ENSG00000145536	ENSG00000145536.15	ADAMTS16
ENSG00000145687	ENSG00000145687.16	SSBP2
ENSG00000145736	ENSG00000145736.14	GTF2H2
ENSG00000145934	ENSG00000145934.16	TENM2
ENSG00000145996	ENSG00000145996.11	CDKAL1
ENSG00000146072	ENSG00000146072.6	TNFRSF21
ENSG00000146378	ENSG00000146378.6	TAAR2
ENSG00000146383	ENSG00000146383.7	TAAR6
ENSG00000146385	ENSG00000146385.1	TAAR8
ENSG00000146618	ENSG00000146618.3	FERD3L
ENSG00000146856	ENSG00000146856.14	AGBL3
ENSG00000146859	ENSG00000146859.6	TMEM140
ENSG00000147059	ENSG00000147059.8	SPIN2A
ENSG00000147130	ENSG00000147130.14	ZMYM3
ENSG00000147160	ENSG00000147160.9	AWAT2
ENSG00000147274	ENSG00000147274.14	RBMX
ENSG00000147378	ENSG00000147378.11	FATE1
ENSG00000147394	ENSG00000147394.18	ZNF185
ENSG00000147408	ENSG00000147408.14	CSGALNACT1
ENSG00000147488	ENSG00000147488.11	ST18
ENSG00000147689	ENSG00000147689.16	FAM83A
ENSG00000147799	ENSG00000147799.11	ARHGAP39
ENSG00000148136	ENSG00000148136.5	OR13C4
ENSG00000148215	ENSG00000148215.4	OR5C1
ENSG00000148396	ENSG00000148396.18	SEC16A
ENSG00000148429	ENSG00000148429.14	USP6NL
ENSG00000149043	ENSG00000149043.16	SYT8
ENSG00000149091	ENSG00000149091.15	DGKZ
ENSG00000149133	ENSG00000149133.1	OR5F1
ENSG00000149435	ENSG00000149435.12	GGTLC1
ENSG00000149506	ENSG00000149506.11	ZP1
ENSG00000149646	ENSG00000149646.12	CNBD2
ENSG00000149679	ENSG00000149679.11	CABLES2
ENSG00000149926	ENSG00000149926.13	TLCD3B
ENSG00000150048	ENSG00000150048.10	CLEC1A
ENSG00000150269	ENSG00000150269.1	OR5M9
ENSG00000150459	ENSG00000150459.12	SAP18
ENSG00000150625	ENSG00000150625.16	GPM6A
ENSG00000150636	ENSG00000150636.17	CCDC102B
ENSG00000151006	ENSG00000151006.7	PRSS53
ENSG00000151012	ENSG00000151012.13	SLC7A11
ENSG00000151079	ENSG00000151079.7	KCNA6
ENSG00000151276	ENSG00000151276.23	MAGI1
ENSG00000151292	ENSG00000151292.17	CSNK1G3
ENSG00000151365	ENSG00000151365.2	THRSP
ENSG00000151575	ENSG00000151575.14	TEX9
ENSG00000151576	ENSG00000151576.10	QTRT2
ENSG00000151615	ENSG00000151615.3	POU4F2
ENSG00000151632	ENSG00000151632.17	AKR1C2
ENSG00000151882	ENSG00000151882.11	CCL28
ENSG00000151967	ENSG00000151967.18	SCHIP1
ENSG00000152049	ENSG00000152049.6	KCNE4
ENSG00000152128	ENSG00000152128.13	TMEM163
ENSG00000152229	ENSG00000152229.18	PSTPIP2
ENSG00000152404	ENSG00000152404.15	CWF19L2
ENSG00000152595	ENSG00000152595.16	MEPE
ENSG00000152683	ENSG00000152683.14	SLC30A6
ENSG00000152818	ENSG00000152818.18	UTRN
ENSG00000152904	ENSG00000152904.11	GGPS1
ENSG00000153230	ENSG00000153230.4	OR14K1
ENSG00000153310	ENSG00000153310.19	CYRIB
ENSG00000153404	ENSG00000153404.14	PLEKHG4B
ENSG00000154263	ENSG00000154263.17	ABCA10
ENSG00000154380	ENSG00000154380.17	ENAH
ENSG00000154451	ENSG00000154451.14	GBP5
ENSG00000155026	ENSG00000155026.16	RSPH10B
ENSG00000155158	ENSG00000155158.20	TTC39B
ENSG00000155252	ENSG00000155252.13	PI4K2A
ENSG00000155363	ENSG00000155363.18	MOV10
ENSG00000155367	ENSG00000155367.15	PPM1J
ENSG00000155886	ENSG00000155886.11	SLC24A2
ENSG00000156026	ENSG00000156026.14	MCU
ENSG00000156030	ENSG00000156030.13	MIDEAS
ENSG00000156097	ENSG00000156097.12	GPR61
ENSG00000156162	ENSG00000156162.16	DPY19L4
ENSG00000156232	ENSG00000156232.7	WHAMM
ENSG00000156299	ENSG00000156299.13	TIAM1
ENSG00000156575	ENSG00000156575.2	PRG3
