orthogroup1	humanID	bearID	oneToOne	humanGeneID	bearGeneID
OG0000000	ENST00000620438.1	rna50998	TRUE	ENSG00000196890.4	gene28194
OG0000000	ENST00000377777.5	rna28162	TRUE	ENSG00000158373.8	gene15788
OG0000000	ENST00000606613.1	rna28155	TRUE	ENSG00000233822.4	gene15782
OG0000000	ENST00000615966.1	rna28182	TRUE	ENSG00000276410.3	gene15799
OG0000000	ENST00000314332.5	rna28153	FALSE	ENSG00000180596.7	gene15780
OG0000000	ENST00000634910.1	rna28153	FALSE	ENSG00000274290.2	gene15780
OG0000000	ENST00000356530.5	rna53629	TRUE	ENSG00000277224.2	gene29791
OG0000000	ENST00000356950.1	rna27994	TRUE	ENSG00000197903.7	gene15652
OG0000000	ENST00000369155.3	rna49036	TRUE	ENSG00000184678.10	gene27026
OG0000000	ENST00000619466.2	rna27987	FALSE	ENSG00000275713.2	gene15645
OG0000000	ENST00000545683.1	rna27987	FALSE	ENSG00000203814.6	gene15645
OG0000000	ENST00000616182.1	rna28003	TRUE	ENSG00000274641.1	gene15660
OG0000001	ENST00000613174.1	rna53625	TRUE	ENSG00000276903.1	gene29787
OG0000001	ENST00000618958.1	rna27992	TRUE	ENSG00000275221.1	gene15650
OG0000001	ENST00000607355.2	rna49035	FALSE	ENSG00000272196.2	gene27025
OG0000001	ENST00000369159.2	rna49035	FALSE	ENSG00000203812.2	gene27025
OG0000001	ENST00000377791.3	rna28164	TRUE	ENSG00000180573.9	gene15790
OG0000001	ENST00000366695.3	rna50996	TRUE	ENSG00000181218.5	gene28192
OG0000001	ENST00000377459.2	rna28000	TRUE	ENSG00000274997.1	gene15657
OG0000001	ENST00000297012.4	rna28209	TRUE	ENSG00000164508.4	gene15813
OG0000001	ENST00000544848.2	rna17906	TRUE	ENSG00000246705.4	gene9886
OG0000001	ENST00000333151.4	rna54502	FALSE	ENSG00000276368.1	gene30680
OG0000001	ENST00000333151.4	rna54500	FALSE	ENSG00000276368.1	gene30678
OG0000001	ENST00000303910.4	rna28183	TRUE	ENSG00000277075.2	gene15800
OG0000001	ENST00000341023.1	rna28181	TRUE	ENSG00000196866.2	gene15798
OG0000004	ENST00000358433.2	rna53558	TRUE	ENSG00000188324.3	gene29733
OG0000004	ENST00000327335.4	rna54159	FALSE	ENSG00000184954.4	gene30272
OG0000004	ENST00000327335.4	rna15697	FALSE	ENSG00000184954.4	gene8745
OG0000004	ENST00000328314.3	rna53427	TRUE	ENSG00000185821.3	gene29626
OG0000004	ENST00000379665.2	rna53428	TRUE	ENSG00000205328.2	gene29627
