hgnc_symbol	refseq_mrna	ensembl_gene_id
ACADVL	NM_000018	ENSG00000072778
PSEN1	NM_000021	ENSG00000080815
ADSL	NM_000026	ENSG00000239900
ALAD	NM_000031	ENSG00000148218
CDK4	NM_000075	ENSG00000135446
CPOX	NM_000097	ENSG00000080819
CST3	NM_000099	ENSG00000101439
CSTB	NM_000100	ENSG00000160213
DDB2	NM_000107	ENSG00000134574
DLD	NM_000108	ENSG00000091140
TOR1A	NM_000113	ENSG00000136827
TAZ	NM_000116	ENSG00000102125
EMD	NM_000117	ENSG00000102119
ERCC3	NM_000122	ENSG00000163161
ERCC5	NM_000123	ENSG00000134899
ETFA	NM_000126	ENSG00000140374
FECH	NM_000140	ENSG00000066926
FH	NM_000143	ENSG00000091483
FXN	NM_000144	ENSG00000165060
GAA	NM_000152	ENSG00000171298
GALT	NM_000155	ENSG00000213930
GBA	NM_000157	ENSG00000262446
GBA	NM_000157	ENSG00000177628
GCDH	NM_000159	ENSG00000105607
GPI	NM_000175	ENSG00000282019
GPI	NM_000175	ENSG00000105220
GSS	NM_000178	ENSG00000100983
MSH6	NM_000179	ENSG00000116062
HADHA	NM_000182	ENSG00000084754
HMBS	NM_000190	ENSG00000256269
HPS1	NM_000195	ENSG00000107521
MEN1	NM_000244	ENSG00000133895
MLH1	NM_000249	ENSG00000076242
MTM1	NM_000252	ENSG00000171100
MMUT	NM_000255	ENSG00000146085
NF2	NM_000268	ENSG00000186575
NPC1	NM_000271	ENSG00000141458
OAT	NM_000274	ENSG00000065154
PEPD	NM_000285	ENSG00000124299
PEX12	NM_000286	ENSG00000108733
PEX6	NM_000287	ENSG00000124587
PGK1	NM_000291	ENSG00000102144
PHKB	NM_000293	ENSG00000102893
PLOD1	NM_000302	ENSG00000083444
CTSA	NM_000308	ENSG00000064601
PTEN	NM_000314	ENSG00000284792
PTEN	NM_000314	ENSG00000171862
PEX2	NM_000318	ENSG00000164751
PEX5	NM_000319	ENSG00000288217
PEX5	NM_000319	ENSG00000139197
TPI1	NM_000365	ENSG00000111669
UROD	NM_000374	ENSG00000126088
UROS	NM_000375	ENSG00000188690
XPA	NM_000380	ENSG00000136936
ALDH3A2	NM_000382	ENSG00000072210
BLMH	NM_000386	ENSG00000108578
CYB5R3	NM_000398	ENSG00000100243
ERCC2	NM_000400	ENSG00000104884
HSD17B4	NM_000414	ENSG00000133835
IFNGR1	NM_000416	ENSG00000027697
PAFAH1B1	NM_000430	ENSG00000007168
NEU1	NM_000434	ENSG00000184494
NEU1	NM_000434	ENSG00000234343
NEU1	NM_000434	ENSG00000228691
NEU1	NM_000434	ENSG00000227315
NEU1	NM_000434	ENSG00000223957
NEU1	NM_000434	ENSG00000234846
NEU1	NM_000434	ENSG00000227129
NEU1	NM_000434	ENSG00000204386
PSEN2	NM_000447	ENSG00000143801
SOD1	NM_000454	ENSG00000142168
STK11	NM_000455	ENSG00000118046
UBE3A	NM_000462	ENSG00000114062
PEX1	NM_000466	ENSG00000127980
GALNS	NM_000512	ENSG00000141012
HEXA	NM_000520	ENSG00000213614
SMPD1	NM_000543	ENSG00000166311
TSC2	NM_000548	ENSG00000103197
IFNAR1	NM_000629	ENSG00000142166
GSR	NM_000637	ENSG00000104687
ADH5	NM_000671	ENSG00000197894
AHCY	NM_000687	ENSG00000101444
ALDH9A1	NM_000696	ENSG00000143149
BCKDHA	NM_000709	ENSG00000248098
COMT	NM_000754	ENSG00000093010
GART	NM_000819	ENSG00000262473
GART	NM_000819	ENSG00000159131
GRINA	NM_000837	ENSG00000178719
GSTM4	NM_000850	ENSG00000168765
GUK1	NM_000858	ENSG00000143774
NQO2	NM_000904	ENSG00000124588
PDHB	NM_000925	ENSG00000168291
POLR2A	NM_000937	ENSG00000284832
POLR2A	NM_000937	ENSG00000181222
POLR2B	NM_000938	ENSG00000047315
RPL4	NM_000968	ENSG00000174444
RPL6	NM_000970	ENSG00000089009
RPL8	NM_000973	ENSG00000161016
RPL11	NM_000975	ENSG00000142676
RPL27	NM_000988	ENSG00000131469
RPL30	NM_000989	ENSG00000156482
RPL31	NM_000993	ENSG00000071082
RPL32	NM_000994	ENSG00000144713
RPL34	NM_000995	ENSG00000109475
RPL35A	NM_000996	ENSG00000182899
RPL36AL	NM_001001	ENSG00000165502
REEP3	NM_001001330	ENSG00000165476
TSR3	NM_001001410	ENSG00000007520
TIMM50	NM_001001563	ENSG00000105197
ALKBH2	NM_001001655	ENSG00000189046
ETFRF1	NM_001001660	ENSG00000205707
MED11	NM_001001683	ENSG00000161920
C4orf3	NM_001001701	ENSG00000164096
TOMM5	NM_001001790	ENSG00000175768
C8orf82	NM_001001795	ENSG00000213563
ECHDC1	NM_001002030	ENSG00000093144
ZNF787	NM_001002836	ENSG00000142409
PTRH1	NM_001002913	ENSG00000187024
HMGXB4	NM_001003681	ENSG00000100281
ALG11	NM_001004127	ENSG00000253710
ZNF740	NM_001004304	ENSG00000139651
RNASEK	NM_001004333	ENSG00000219200
YPEL2	NM_001005404	ENSG00000175155
JMJD8	NM_001005920	ENSG00000161999
SDCBP	NM_001007068	ENSG00000137575
SCP2	NM_001007250	ENSG00000116171
IRGQ	NM_001007561	ENSG00000167378
COA5	NM_001008215	ENSG00000183513
TTC32	NM_001008237	ENSG00000183891
CISD2	NM_001008388	ENSG00000145354
LAMTOR4	NM_001008395	ENSG00000188186
TMEM64	NM_001008495	ENSG00000180694
ZNF121	NM_001008727	ENSG00000197961
C6orf226	NM_001008739	ENSG00000221821
STK16	NM_001008910	ENSG00000115661
RPS5	NM_001009	ENSG00000083845
PPP2CB	NM_001009552	ENSG00000104695
C12orf29	NM_001009894	ENSG00000133641
FAM168B	NM_001009993	ENSG00000152102
RPS6	NM_001010	ENSG00000137154
TTC7B	NM_001010854	ENSG00000165914
RNF187	NM_001010858	ENSG00000285426
RNF187	NM_001010858	ENSG00000168159
IBA57	NM_001010867	ENSG00000181873
MYPOP	NM_001012643	ENSG00000176182
CTU2	NM_001012759	ENSG00000174177
COA6	NM_001012985	ENSG00000168275
UBE2NL	NM_001012989	ENSG00000276380
GDPGP1	NM_001013657	ENSG00000183208
PTRHD1	NM_001013663	ENSG00000184924
SRRD	NM_001013694	ENSG00000100104
EIF2AK4	NM_001013703	ENSG00000128829
EOLA2	NM_001013845	ENSG00000197021
RPS13	NM_001017	ENSG00000110700
TMCC1	NM_001017395	ENSG00000172765
C14orf28	NM_001017923	ENSG00000179476
C2orf76	NM_001017927	ENSG00000186132
VMA21	NM_001017980	ENSG00000160131
CMC4	NM_001018024	ENSG00000182712
SERF2	NM_001018108	ENSG00000140264
NME1-NME2	NM_001018136	ENSG00000011052
LRRC24	NM_001024678	ENSG00000254402
RPS23	NM_001025	ENSG00000186468
ANO6	NM_001025356	ENSG00000177119
RPS24	NM_001026	ENSG00000138326
KCTD21	NM_001029859	ENSG00000188997
C6orf120	NM_001029863	ENSG00000185127
CPTP	NM_001029885	ENSG00000224051
ZNF181	NM_001029997	ENSG00000197841
COX19	NM_001031617	ENSG00000240230
SRSF7	NM_001031684	ENSG00000115875
PLAA	NM_001031689	ENSG00000137055
ELP6	NM_001031703	ENSG00000163832
MCUR1	NM_001031713	ENSG00000050393
DDX59	NM_001031725	ENSG00000118197
TMPO	NM_001032284	ENSG00000120802
MICOS10	NM_001032363	ENSG00000173436
